,A,MetR,MetJ
R2,,0.1933905310772852,0.03041027562275256
xmin,,-6.7022069066,-3.9687177674000003
xmid,,,
xmax,,8.2756495551,5.8603107211
ystart,,-5.963491823009768,-3.1654026974624254
yend,,5.628873385645579,2.6587084487309376
SRX1125282,0.3079186561,-0.020431728200000002,0.0407449277
SRX1125283,0.2527682081,0.0251569612,-0.1378432607
SRX1125284,0.21951141230000001,0.5256371008,0.22709502720000002
SRX1125285,1.1008022431,0.9335080533000001,0.1914283713
SRX1125286,2.3325456364,0.9239305078000001,0.37283968910000004
SRX1125287,2.5378308332,0.6834974786,0.2747517627
SRX1125288,-0.0992855473,0.1148493642,0.0053300797
SRX1125289,0.0024040043,0.6414450408,0.2903858547
SRX1125290,0.6612210496,0.9456822427,0.3294292998
SRX1125291,1.4907076141,1.3339643733,0.4410258127
SRX1125292,3.1579418092,0.6372961653,0.015384444700000001
SRX1125293,2.3950687448,-0.7005522211,-0.3285642561
SRX1125294,-0.2086331088,-0.094417636,-0.0460750074
SRX1125295,-0.0900923326,-0.1301622962,0.5025824305000001
SRX1125296,0.4734478594,0.49119631890000004,0.3739434893
SRX1125297,0.5191756065,0.9740239031000001,0.8176435398
SRX1125298,2.3209769219,0.6076860066,0.4927140488
SRX1125299,2.2965589062,-0.6831125344,-0.2662514708
SRX5694250,0.8927853268,0.1290995982,-0.571360467
SRX5694251,0.0017936385000000001,-0.6987243152,-0.22476467500000002
SRX5694252,-0.1883416372,2.0341348523,-0.7647392033
SRX5694253,-0.2280871164,-0.1137573404,0.0414349326
SRX5694254,-0.25671287870000004,1.3862187499,0.11860713710000001
SRX5694255,0.8710033236,-3.0608989236,0.5887915191
SRX5694256,0.8365772407000001,-0.8851943996,0.1595604574
SRX5694257,0.584249808,0.1368365253,-0.2955735514
SRX5694258,-0.142658898,-0.45883801080000003,-0.3367329341
SRX5694259,-0.1723024054,1.2645236649,-0.1851318057
SRX5694260,0.870692357,0.09471423970000001,-0.26672376140000004
SRX5694261,2.928270957,1.3063250183,-1.0677168085
SRX5694262,0.7024212779,0.5200428225,-0.5998015735000001
SRX5694263,1.4022072423,-0.2227877953,-0.2075697823
SRX5694264,0.7317346633,0.037222017100000004,0.2032172056
SRX5694265,0.1495470711,-0.8761436666,-0.4572296241
SRX5694267,-0.021815708700000002,0.1779264857,0.33629441600000004
SRX5694268,1.248079905,-0.6890712674,-0.3052479863
SRX5694269,0.6108405233,-0.15796883650000001,-0.45495210760000004
SRX5694271,-0.13907806720000002,-0.20213342250000002,-0.3979299485
SRX5694273,0.24602702880000002,0.3872224829,-1.1013094778
SRX5694274,0.2092525998,-0.7685909995,-0.3589724205
SRX5694275,1.6001379617,-0.3744920212,-1.4004306561
SRX5694276,-0.2305930569,0.0349558201,-0.556066241
SRX5694277,1.6097207146999999,-0.1503078177,-0.9438466885000001
SRX5694278,0.6480904852,-0.1983754849,-0.5566309391
SRX5694279,0.8364386454,0.13158196960000001,0.2180745255
SRX5694280,0.0304896588,-0.1415450996,-1.4685724122
SRX5694281,1.1732596960000001,-0.65828812,-0.6874576332
SRX5694282,-0.6601522486,0.9949329622,1.8757119637000002
SRX5694283,0.8755234582,0.6539899586,-0.3903623893
SRX5694284,1.2059669450000001,-0.17240814910000002,-0.40979099550000003
SRX5694285,0.4754812487,0.41066815500000003,-0.9738386864
SRX5694286,1.4965519372,0.051522108500000004,-1.2605855585
SRX5694287,0.4207326407,-0.4269714874,-0.38763987250000004
SRX5694288,0.35221673600000003,0.1970044799,-0.1136530568
SRX5694289,0.1066236742,0.14220342290000001,-0.25135357950000004
SRX5694290,0.7475890620000001,-0.16022712390000002,0.214215927
SRX5694291,-0.295648569,-0.295637474,0.8093946188000001
SRX5694292,1.0737124417,-0.5032958675,-0.5582080501000001
SRX5694293,-0.0199091384,-0.7435829183,-0.3542533297
SRX5694294,0.13924528690000001,0.4775910801,-0.3589944296
SRX5694295,0.2087275291,2.5936797438,-0.7406759567000001
SRX5694296,-0.115150709,0.3404541166,-0.0672705727
SRX5694297,0.5405427315,0.4066838325,0.48031390620000003
SRX5694298,0.5791799245,-0.329931291,-0.4810864589
SRX5694299,-0.6420435710000001,-0.9982457224000001,-0.3561953483
SRX5694300,0.1702746345,-0.6858169056,-0.15797222760000001
SRX5694301,0.6247219294,-1.1423793764,-0.8327759997
SRX5694302,1.0574244308,0.1421531003,0.1361310898
SRX5694303,1.0336925495,0.3052160662,-0.1124377586
SRX5694304,0.6801648686,-1.1688175162,-0.6408068597000001
SRX5694305,-0.7778115933,1.3796314709,0.19444017090000001
SRX5694306,2.0231177086,-1.9850018541,-0.5395666118
SRX5694307,-1.2085743047,0.8289023574000001,2.0446102753
SRX5694308,-0.6311419057000001,-0.9757229357,-0.3177654897
SRX5694309,-0.2411602421,-0.2280350334,0.0931874413
SRX5694310,-0.27260273360000004,1.2199811892,-0.14375315460000002
SRX5694311,-0.5113120532000001,0.8742763665000001,-0.0099062796
SRX5694312,0.7303595631,0.9760833627000001,0.2544478882
SRX5694313,-0.2332770456,3.3553149407,-0.33341943960000003
SRX5694315,0.749745691,-0.7517175335,-0.8973512783
SRX5694317,0.9441952658,0.4139535179,-0.7685836753
SRX5694319,-0.1378694578,0.6203515186,0.1898433843
SRX5694320,0.6693197587,-0.49980253550000003,0.7472586213
SRX5694321,-0.2561829171,1.0320714439,-0.0309615065
SRX5694322,0.5838502467000001,1.8654794081000001,0.5312786365000001
SRX5694323,-1.0257013016,2.0284116836,-0.0434292837
SRX5694324,-0.916699781,0.6065938173000001,-0.6758867198
SRX5694325,-0.3279209359,0.8021574399,0.5672953288
SRX5694326,0.5279145367,0.3111767279,0.1172277625
SRX5694327,-0.0090773216,1.0566485044,-0.0734469231
SRX5694328,-0.2314873685,0.3368939294,-0.034314122600000004
SRX5694329,0.8311276272,1.4105040716000001,0.2259162998
SRX5694330,2.7152713145,0.38824107350000003,-1.6145138888
SRX5694331,0.8081864754,-1.2254873967,-0.3921706237
SRX5694332,0.9444032862,0.49344375830000003,0.0072714481
SRX5694334,-0.8508942766,-0.08668232840000001,-0.6054968164
SRX5694335,0.3353162192,1.4023471954,-0.2579717138
SRX5694336,-1.8785312603,-0.8366567319,0.5628574338
SRX5694337,0.2218093238,-0.3301819294,0.08976073
SRX5694338,1.3731924535,-0.0709392635,-0.5513569066
SRX5694339,0.6307800306,0.49906555150000004,0.011578854100000001
SRX5694340,0.37034177300000004,-0.1254460056,-1.7715237855
SRX5694341,-0.5816084211,0.17142360380000002,0.43874485230000004
SRX5694342,0.0973346667,0.3999590457,0.7266227623
SRX5694343,0.2701009574,2.3151705895,0.292959535
SRX5694344,0.9266485195,0.0899603979,0.2921644228
SRX5694345,-0.17138176460000001,-0.3067318214,0.006873742
SRX5694346,0.29300059,1.217638876,0.1781643092
SRX5694347,-0.1751582778,-0.1318845395,-0.2042039779
SRX5694348,2.0602725964,-0.44827730730000004,-1.0268610723
SRX5694349,0.459299434,0.3109226727,-1.2843808998
SRX5694350,0.7456190211,-0.8176950427,-0.0717766286
SRX5694351,-1.3927274752,1.8943604996999999,1.497018913
SRX5694352,2.1712597112,-0.7864951719000001,-0.5843132791
SRX5694353,0.0707814069,-0.32292963150000004,-0.2227038825
SRX5694354,0.6957364580000001,-0.7798331476,-1.4383404365
SRX5694356,0.3356557877,-0.4447178808,-0.2266942248
SRX5694357,0.3459041874,0.18687412280000001,0.7440078659
SRX5694358,1.7998860007,-3.0608989236,0.6000166815
SRX5694359,0.3329721892,1.203797893,-1.0745080307000001
