,ispB
Cr_1,-0.0014306873664967086
Cr_2,-0.004282782815630225
Cr_3,-0.009076093072459436
Cr_4,-0.01886896328809224
Cr_5,-0.027493787779117276
Cr_6,-0.0378564095972772
Fe_1,-0.003759192996878544
Fe_2,-0.012115683922083358
Fe_3,-0.016718098884917734
Fe_4,-0.024569889479642323
Fe_5,-0.026204373673721974
Fe_6,-0.028070136590144845
Cd_1,0.0010542466574765816
Cd_2,0.005069287690244046
Cd_3,0.0099409232335822
Cd_4,0.014197194402335904
Cd_5,0.012707915374759977
Cd_6,0.01891115616238051
Zn_1,-0.0031378622151779782
Zn_2,-0.00033376313976532957
Zn_3,0.010082675531276512
Zn_4,0.02317750644402479
Zn_5,0.036253296357047486
Zn_6,0.045108753567418336
Cu_1,0.004587131798274698
Cu_2,0.0070742405323588236
Cu_3,0.01175197807520653
Cu_4,0.018747029496810667
Cu_5,0.026109392029040064
Cu_6,0.035406773821547464
Pb_1,0.0047506283012017075
Pb_2,0.007327114620067798
Pb_3,0.012980511532926313
Pb_4,0.014913069173950041
Pb_5,0.015722778133960308
Pb_6,0.020748779657377227
