,rdoA
Cr_1,0.008115228932321144
Cr_2,0.01776166379925699
Cr_3,0.03237940702892648
Cr_4,0.049452603010017485
Cr_5,0.06220028926318904
Cr_6,0.07304895718163082
Fe_1,-0.001112938248873438
Fe_2,-0.020895235068456548
Fe_3,-0.05804877382863735
Fe_4,-0.10768137002309804
Fe_5,-0.14928879954831506
Fe_6,-0.1830145593424602
Cd_1,-0.0027912046696790217
Cd_2,-0.0035892482064388688
Cd_3,-0.006173918445368802
Cd_4,-0.008083954385952793
Cd_5,-0.010778994454978215
Cd_6,-0.003614830208153926
Zn_1,-0.007250997348351767
Zn_2,-0.014866701680587931
Zn_3,-0.018763838149433203
Zn_4,-0.01940712174182229
Zn_5,-0.018291098159902926
Zn_6,-0.02153034138673177
Cu_1,0.014450129576196409
Cu_2,0.03274729277697353
Cu_3,0.052416840941099566
Cu_4,0.0668574805404403
Cu_5,0.07938897923255224
Cu_6,0.09064523729220822
Pb_1,0.02006166297012792
Pb_2,0.037931585673740366
Pb_3,0.060597374045676625
Pb_4,0.08368839193237929
Pb_5,0.10566066087287387
Pb_6,0.13019529380309294
