,cpdA
Cr_1,0.00013590364798675853
Cr_2,-0.00497937129088529
Cr_3,-0.008996063057641836
Cr_4,-0.006607795008460363
Cr_5,-0.0013229536310139164
Cr_6,-0.004766709773036914
Fe_1,-0.019065051944169718
Fe_2,-0.04165651064579076
Fe_3,-0.038556055177098834
Fe_4,-0.04324434567184035
Fe_5,-0.04753788284827822
Fe_6,-0.04373305597974168
Cd_1,0.0038080033525236734
Cd_2,0.009693371865767434
Cd_3,0.0144955998428011
Cd_4,0.016369416582717955
Cd_5,0.011543957276143388
Cd_6,0.015603340138977129
Zn_1,-0.00010118037469990992
Zn_2,-0.004109477924443937
Zn_3,0.011849467792153665
Zn_4,0.03127634299886547
Zn_5,0.04572301228108195
Zn_6,0.04704693242505045
Cu_1,-0.0011045908817167989
Cu_2,-0.0008549290764778343
Cu_3,-0.0034730738529251386
Cu_4,0.0005736518282523441
Cu_5,0.0062131487105641856
Cu_6,0.01710383219558948
Pb_1,-0.003869926269401932
Pb_2,-0.001806218606122937
Pb_3,0.0029174218149136074
Pb_4,0.010297711287488251
Pb_5,0.010439707311664877
Pb_6,0.02059120965729482
