,yjeI
Cr_1,-0.0017296779363047765
Cr_2,0.0007576409476073557
Cr_3,0.005027261517267355
Cr_4,0.0031300487996252448
Cr_5,0.00046404086987079707
Cr_6,-0.004446548026804697
Fe_1,-0.009869969472415979
Fe_2,-0.02635362043623026
Fe_3,-0.03735980473406274
Fe_4,-0.048550193414673086
Fe_5,-0.06745803628768629
Fe_6,-0.0774120836342336
Cd_1,0.18834246353154965
Cd_2,0.4204702821998628
Cd_3,0.6909655907731773
Cd_4,1.0075290994702584
Cd_5,1.3570693345924996
Cd_6,1.7009563657760371
Zn_1,-0.004887990750199139
Zn_2,-0.006038842473806574
Zn_3,-0.00789302940275045
Zn_4,-0.0015662314751459653
Zn_5,0.008712934060247179
Zn_6,0.027215034561088047
Cu_1,-0.003969572826659803
Cu_2,0.002908828065832389
Cu_3,0.019389419731196837
Cu_4,0.03182698193601498
Cu_5,0.052878703820375385
Cu_6,0.07481786756125314
Pb_1,0.0045116973242970825
Pb_2,0.014282958889496319
Pb_3,0.016553782607126376
Pb_4,0.02875463352464688
Pb_5,0.047514500236203815
Pb_6,0.07084020495240792
