,ynfC
Cr_1,-0.008270271470785759
Cr_2,-0.007614029190104114
Cr_3,0.004128122460589321
Cr_4,0.011841784174022504
Cr_5,0.012406148146614513
Cr_6,0.011983895085220237
Fe_1,-0.002291843610183593
Fe_2,-0.011225489897125502
Fe_3,0.0202990511509244
Fe_4,0.10543952158751024
Fe_5,0.2258312397045106
Fe_6,0.32856140418041
Cd_1,0.00030946692779909867
Cd_2,0.008540142167344913
Cd_3,0.008678476203664642
Cd_4,0.009943336115499938
Cd_5,0.003952962668688881
Cd_6,0.00620459652110151
Zn_1,-0.03418555547400982
Zn_2,-0.044279316278298515
Zn_3,-0.054862512316666036
Zn_4,-0.09393435883277547
Zn_5,-0.11857923774249185
Zn_6,-0.15181545452921966
Cu_1,0.007903587727618107
Cu_2,0.018398134189965047
Cu_3,0.029655483158556768
Cu_4,0.03874929462261754
Cu_5,0.04238526082755096
Cu_6,0.04320487201819837
Pb_1,0.007952984993584595
Pb_2,0.01983099906523553
Pb_3,0.0244602734262242
Pb_4,0.03322516134435639
Pb_5,0.042517754853778164
Pb_6,0.05603778815487795
