,yfbM
Cr_1,-0.0029810701769340557
Cr_2,-0.003016091276883597
Cr_3,0.0001183780339869046
Cr_4,0.002293842509332418
Cr_5,0.010439250286601262
Cr_6,-0.009037821067244566
Fe_1,-0.046499846318371216
Fe_2,-0.11586538711933254
Fe_3,-0.11038293351967272
Fe_4,-0.14367713466183069
Fe_5,-0.15202879449349674
Fe_6,-0.19666639985612144
Cd_1,0.0036657485780682564
Cd_2,0.0019027951699012574
Cd_3,0.004286676728080864
Cd_4,0.008965278610373849
Cd_5,0.0118133920195892
Cd_6,0.014279011197727785
Zn_1,-0.03744435414847163
Zn_2,-0.029950942399610388
Zn_3,-0.03602471330622679
Zn_4,-0.042057264120821
Zn_5,-0.04978945766630274
Zn_6,-0.024365527882693788
Cu_1,0.007140395085149953
Cu_2,0.01694671410424382
Cu_3,0.03019615476401275
Cu_4,0.04152723867099471
Cu_5,0.0425579999539207
Cu_6,0.04476536229177512
Pb_1,0.010627999258393571
Pb_2,0.01630787340319586
Pb_3,0.01930442777938061
Pb_4,0.026679058226322067
Pb_5,0.03718625615287631
Pb_6,0.04095210643143685
