,ymfE
Cr_1,-0.0008831273375305822
Cr_2,-0.0039042277704649546
Cr_3,-0.0069114376919454865
Cr_4,-0.00792468550176819
Cr_5,-0.008392650810704986
Cr_6,-0.010386546413040244
Fe_1,-0.0054152051218478645
Fe_2,-0.011010859932465158
Fe_3,-0.010857489141945741
Fe_4,-0.015168138206613106
Fe_5,-0.01959402523120636
Fe_6,-0.011972203987768451
Cd_1,0.002690203344798085
Cd_2,0.006837749639357383
Cd_3,0.011857962467400056
Cd_4,0.0180837289307327
Cd_5,0.01821393968042768
Cd_6,0.02490143455264841
Zn_1,-0.00016451112681327144
Zn_2,0.0027792614496496377
Zn_3,0.007351711088452055
Zn_4,0.01699138757437739
Zn_5,0.02598781206688917
Zn_6,0.0327800349002699
Cu_1,-0.002884027609786044
Cu_2,0.001943318876464406
Cu_3,0.010700565587530759
Cu_4,0.014172962935429726
Cu_5,0.020358687230547148
Cu_6,0.028757715427547893
Pb_1,0.005954317431643734
Pb_2,0.007553150236457675
Pb_3,0.014099408682683962
Pb_4,0.025449734472754976
Pb_5,0.03542282857948968
Pb_6,0.04769037855429066
