,csdA
Cr_1,0.005238814119327327
Cr_2,0.012218627636361085
Cr_3,0.02061273506424388
Cr_4,0.025697127650530515
Cr_5,0.030542702605926744
Cr_6,0.03344950077892925
Fe_1,-0.0005584992541374036
Fe_2,-0.0221165290226414
Fe_3,-0.04092515568277925
Fe_4,-0.054115210315902725
Fe_5,-0.06575756195839089
Fe_6,-0.07580649024728472
Cd_1,0.019308438959742283
Cd_2,0.045639830881166084
Cd_3,0.07772568226097946
Cd_4,0.11477694506828955
Cd_5,0.14270001950551986
Cd_6,0.16718486352456502
Zn_1,0.012218762204561216
Zn_2,0.028996151339252683
Zn_3,0.04493587342997238
Zn_4,0.06739449447480464
Zn_5,0.0892764006412089
Zn_6,0.11513700950221435
Cu_1,0.00013219627632589002
Cu_2,0.003563611416454289
Cu_3,0.012279106436657871
Cu_4,0.01935100225211453
Cu_5,0.02455695727151401
Cu_6,0.03227092000406138
Pb_1,-0.001862079467709428
Pb_2,-0.00029800267864695635
Pb_3,0.010066326928005465
Pb_4,0.015045345007883182
Pb_5,0.0197090277224548
Pb_6,0.03124928459127171
