,ydaQ
Cr_1,0.00019501160777699047
Cr_2,0.0076387695529387106
Cr_3,0.02022350050893093
Cr_4,0.031462924719223746
Cr_5,0.04627688504867064
Cr_6,0.055595023810149184
Fe_1,-0.0005812679673773048
Fe_2,-0.009162241227300971
Fe_3,-0.009440644229342274
Fe_4,-0.010670603216807548
Fe_5,0.0005706692685788794
Fe_6,0.007568057784531251
Cd_1,0.004325055354673152
Cd_2,0.008440585365908377
Cd_3,0.010921090873606949
Cd_4,0.011082226035880232
Cd_5,0.0068666025501663746
Cd_6,0.007779904797072562
Zn_1,-0.0011607348569522195
Zn_2,-0.0015743869439368828
Zn_3,0.005207340279697069
Zn_4,0.013571567249086302
Zn_5,0.0218736784256144
Zn_6,0.026797058030347792
Cu_1,0.007253938525133365
Cu_2,0.014520988124923272
Cu_3,0.02146695627877521
Cu_4,0.02808019670244121
Cu_5,0.035107958731365296
Cu_6,0.040497338607419726
Pb_1,0.00460470196582096
Pb_2,0.0026499311965261256
Pb_3,0.007120522251498528
Pb_4,0.012261498083615213
Pb_5,0.02207786670115209
Pb_6,0.03034743636845585
