,tdcG_2
Cr_1,0.004353246632426479
Cr_2,0.007952278465503438
Cr_3,0.013054545322606857
Cr_4,0.014952215232359825
Cr_5,0.011514055381856405
Cr_6,0.014041514171194338
Fe_1,-0.011978061122292495
Fe_2,-0.03464319427037734
Fe_3,-0.05294297325510658
Fe_4,-0.06764883335193875
Fe_5,-0.07367686333326277
Fe_6,-0.07677768362276599
Cd_1,0.001618391069919632
Cd_2,0.0038907372823068095
Cd_3,0.008112548091419043
Cd_4,0.009343656759431976
Cd_5,0.0020005418697009907
Cd_6,0.003860789893388068
Zn_1,-0.004795336421220717
Zn_2,-0.0008677317214802098
Zn_3,0.0035141702919217767
Zn_4,0.015712519909552292
Zn_5,0.02950713440838205
Zn_6,0.04071580484882064
Cu_1,1.0932308211633596e-05
Cu_2,0.0031366335352954783
Cu_3,0.008398942661419863
Cu_4,0.017277506782510086
Cu_5,0.02313820237020768
Cu_6,0.031069893509822144
Pb_1,-0.0035628311155091416
Pb_2,-0.00039086360636449104
Pb_3,0.00493915088187149
Pb_4,0.011710152357685341
Pb_5,0.01728619931507144
Pb_6,0.02439199993237204
