,galP
Cr_1,-0.01338379457179492
Cr_2,-0.020173668025805367
Cr_3,-0.010715514777357823
Cr_4,-0.0047706594339016
Cr_5,-0.006139417051455732
Cr_6,-0.004527968064004505
Fe_1,-0.042048667999631834
Fe_2,-0.06727468052428975
Fe_3,-0.07771148906309107
Fe_4,-0.08091772208281289
Fe_5,-0.06945340611000415
Fe_6,-0.06410210670251416
Cd_1,0.0011665637348627748
Cd_2,0.013157800889087886
Cd_3,0.0219712101865865
Cd_4,0.036280190927283976
Cd_5,0.04057326233038416
Cd_6,0.056405069494022526
Zn_1,0.012016436443144221
Zn_2,0.0026759173500675
Zn_3,-0.00616201639143125
Zn_4,-0.013971592451915548
Zn_5,-0.028134928013856992
Zn_6,-0.06326678490410675
Cu_1,0.006317644770489875
Cu_2,0.0118969059164531
Cu_3,0.01595369928708061
Cu_4,0.024480896087968104
Cu_5,0.03403129046326195
Cu_6,0.042531411475097945
Pb_1,-0.0023797111912488467
Pb_2,-0.017349292243066496
Pb_3,-0.02170890346259646
Pb_4,-0.031192706818158306
Pb_5,-0.03265840869167312
Pb_6,-0.03476587833052679
