,-0.36561056327700636,-0.3046754693975053,-0.2437403755180042,-0.18280528163850313,-0.12187018775900205,-0.06093509387950097,1.1102230246251565e-16,0.06093509387950119,0.12187018775900227,0.1828052816385033,0.24374037551800443,0.30467546939750556,0.3656105632770066,0.4265456571565076,0.48748075103600874,0.5484158449155099,0.6093509387950109,0.6702860326745119,0.731221126554013,0.7921562204335142
thresh,-0.3960781102167569,0.3960781102167569,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,33,4134,43,0,0,0,0,0,0,0,0,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['ylcJ'],[]
