,smf_2
Cr_1,0.0017267277560984366
Cr_2,0.002186955871865447
Cr_3,0.01030004336279195
Cr_4,0.00779824313688643
Cr_5,0.01740134617183449
Cr_6,0.02479275132059009
Fe_1,-0.004381688463565506
Fe_2,-0.0238134982796302
Fe_3,-0.03852758594004289
Fe_4,-0.050976911255866515
Fe_5,-0.058373608787081824
Fe_6,-0.060505211070422525
Cd_1,0.00038090516975408764
Cd_2,-0.00250112848488788
Cd_3,0.010847625619110152
Cd_4,0.023610830525600767
Cd_5,0.02159449622454257
Cd_6,0.018608195435246448
Zn_1,0.0037888451027968608
Zn_2,0.013179519070819278
Zn_3,0.027378474295032186
Zn_4,0.04858699495972279
Zn_5,0.07021871327537381
Zn_6,0.08980687457258746
Cu_1,0.00035724761832735014
Cu_2,0.006445918129989504
Cu_3,0.013300332474892929
Cu_4,0.02727839007413493
Cu_5,0.033509543243997485
Cu_6,0.051350039973125865
Pb_1,0.0030344055919812388
Pb_2,0.008000360466537269
Pb_3,0.01618028654937436
Pb_4,0.030816122021575024
Pb_5,0.03725729247043834
Pb_6,0.04503454142915708
