,cca
Cr_1,-0.01731238137976546
Cr_2,-0.030070001592786118
Cr_3,-0.026378721945164076
Cr_4,-0.011717442463592593
Cr_5,0.0027537939123413553
Cr_6,0.0048152055054299925
Fe_1,-0.03655176790230015
Fe_2,-0.07978859547463261
Fe_3,-0.12180754371029685
Fe_4,-0.15318574733353765
Fe_5,-0.18770088869838555
Fe_6,-0.2304686605971777
Cd_1,0.0028611225186292912
Cd_2,0.0059980902068167904
Cd_3,0.012744991627739977
Cd_4,0.012356747331302691
Cd_5,0.013849582328006314
Cd_6,0.01926606016891407
Zn_1,0.0018926226722748628
Zn_2,-0.02104412891468283
Zn_3,-0.03318406934055142
Zn_4,-0.041685017439365264
Zn_5,-0.03899530079347871
Zn_6,-0.041845080314515136
Cu_1,0.006295257965271605
Cu_2,0.01767483990261607
Cu_3,0.023823296440163226
Cu_4,0.03255900838178055
Cu_5,0.042026331485260186
Cu_6,0.046378183768942594
Pb_1,0.005005744977069858
Pb_2,0.008038196870478787
Pb_3,0.005423408237572402
Pb_4,0.013642801625893444
Pb_5,0.026455376193449464
Pb_6,0.04171014550784564
