,vacJ
Cr_1,-0.0012157612439764715
Cr_2,-0.00014838624899609482
Cr_3,0.00026604906587776144
Cr_4,-6.278468963690031e-05
Cr_5,0.0034883182282754873
Cr_6,0.00972558415721107
Fe_1,-0.006294958056859169
Fe_2,-0.01723851833893299
Fe_3,-0.00539733808607049
Fe_4,0.008249360751226923
Fe_5,0.00875482442805558
Fe_6,0.001371482298090775
Cd_1,-0.005761381623582936
Cd_2,-0.0040388380352111945
Cd_3,0.008273566316890293
Cd_4,0.02218181032767777
Cd_5,0.03123016654039165
Cd_6,0.047664565500386086
Zn_1,-0.0548655388869698
Zn_2,-0.09251133787732546
Zn_3,-0.10944460946131372
Zn_4,-0.005805871495929903
Zn_5,0.13643663969597986
Zn_6,0.2073550616337072
Cu_1,0.004379415344083283
Cu_2,0.013704861070941932
Cu_3,0.02648430320961302
Cu_4,0.039235894378090434
Cu_5,0.04909586457615926
Cu_6,0.05900398104042625
Pb_1,0.0031289080577414498
Pb_2,0.009276596452085185
Pb_3,0.013473404789761624
Pb_4,0.02347369006967136
Pb_5,0.0346768913334226
Pb_6,0.04511001487537553
