,ligB
Cr_1,-0.007333482255465198
Cr_2,-0.010787423924955422
Cr_3,-0.008318194376737394
Cr_4,-0.004070777796965013
Cr_5,-0.00020851983450666893
Cr_6,0.008197604946318719
Fe_1,-0.028209765388029343
Fe_2,-0.05095813022260411
Fe_3,-0.06630419163039825
Fe_4,-0.06467606953658303
Fe_5,-0.057709079084775274
Fe_6,-0.05465664616340918
Cd_1,-0.005485506397888223
Cd_2,-0.0026225891904749954
Cd_3,-0.00022353677333541983
Cd_4,0.003302592459431135
Cd_5,-0.0008474668374065254
Cd_6,0.0043462749619118494
Zn_1,0.009353803504439321
Zn_2,0.017853149750454118
Zn_3,0.02239617505328689
Zn_4,0.03484466723933044
Zn_5,0.050604437099086436
Zn_6,0.049590506078485565
Cu_1,0.003116351354667809
Cu_2,0.011558488285051164
Cu_3,0.023553260732812026
Cu_4,0.0344894080755757
Cu_5,0.039978935303421816
Cu_6,0.044923055209447865
Pb_1,0.003914368718915109
Pb_2,0.009630389405825772
Pb_3,0.01765244560174405
Pb_4,0.022551696015879804
Pb_5,0.036284426944913566
Pb_6,0.05640097619318282
