,yhhY
Cr_1,0.0011360122689348898
Cr_2,-0.0001943121394934508
Cr_3,0.0034653065763014267
Cr_4,0.0008142966236722557
Cr_5,-0.0019183185754430149
Cr_6,-0.004331382001812554
Fe_1,-0.00734228159801247
Fe_2,-0.015154794193293096
Fe_3,-0.023919662220363812
Fe_4,-0.030092945805481417
Fe_5,-0.028798545027995375
Fe_6,-0.019188308030866984
Cd_1,0.001973625663689929
Cd_2,0.008394739115720492
Cd_3,0.015395009162650504
Cd_4,0.019900610442667502
Cd_5,0.019866086454831025
Cd_6,0.025973694627277864
Zn_1,0.006642711814846103
Zn_2,0.011970208895875543
Zn_3,0.025839293390688762
Zn_4,0.049545599697454944
Zn_5,0.08013272275665445
Zn_6,0.10004601677097832
Cu_1,0.0049218567207437655
Cu_2,0.007502818031126914
Cu_3,0.011299311633266907
Cu_4,0.016650300772494617
Cu_5,0.021260024666316064
Cu_6,0.03271910740874677
Pb_1,0.002107997246898669
Pb_2,0.008495367357790327
Pb_3,0.012785511686850071
Pb_4,0.012543777942925795
Pb_5,0.013524435884823334
Pb_6,0.01502226048094831
