,A,Fis,ArcA,NarP,RpoS,IscR,AppY,NarL,YdeO
R2,,0.19674553691833974,0.17315204378022286,0.1397362304250792,0.11050635715084045,0.10772709947349979,0.0909139591672612,0.03528297616857867,0.006965096767382772
xmin,,-4.616734858000001,-9.267007604,-2.3294870029999992,-2.4793139040000005,-4.0695735795,-5.320689827000001,-3.3278448574369563,-2.0220257015
xmid,,,0.3454125742168979,,0.194587017403301,,-0.3602889342779233,,0.2887820922118625
xmax,,1.9071262229999988,3.5163621913034038,3.3566115678723563,3.139938211880993,2.4171227035000005,6.518650255136863,1.2829432884999994,5.9779177375
ystart,,8.128296381196948,0.4287229877600961,-3.024636453271909,0.27339262764402117,4.991859672171749,0.7597646420766746,-0.9705413706698667,1.3664916589059037
yend,,-2.241411847428135,12.493544300313964,7.211275104124691,5.356902506266107,-1.2233973000835894,7.40705067142545,3.0764051951896216,4.758358514006725
control__wt_glc__1,0.0174184762621668,0.05150147099999991,0.03663697100000008,0.013805372000000204,-0.049727751000000715,0.04566272449999964,0.07212170399999973,0.0046058085000000295,-0.07637243450000009
control__wt_glc__2,-0.0174184762621974,-0.051501471000001686,-0.03663697100000008,-0.013805371999999316,0.049727751000000715,-0.04566272449999964,-0.07212170400000062,-0.0046058085000000295,0.07637243450000009
fur__wt_dpd__1,2.212686876242539,-1.9217788310000008,1.0583041259999997,-0.6764180889999993,1.6503265020000004,1.8478925534999997,0.13692961000000015,0.7958407655000004,-0.6186598105000001
fur__wt_dpd__2,2.879800850847279,-2.086369940000001,1.1267206660000006,-0.8038825889999996,1.6437026919999995,1.9558987335,-0.09045123600000073,0.7809120795000002,-1.1452122155
fur__wt_fe__1,1.9219412677563048,0.475979152999999,-0.052645840000000284,-0.05291579899999999,-0.2294725589999995,-0.5951839574999997,-0.40982525300000106,0.08602043750000021,-0.3866967965000001
fur__wt_fe__2,1.4785109944158916,0.4851470489999983,-0.1298470389999995,-0.14241751799999935,-0.2717253760000009,-0.8290032915000012,-0.2225392750000008,0.1956717155000005,-0.3298071115000001
fur__delfur_dpd__1,1.5011315987569906,-1.6706239160000012,1.1226786959999997,-0.833438136999999,1.5271957219999999,1.6672951534999996,-0.10244200600000042,0.6368233544999997,-0.4943418315000001
fur__delfur_dpd__2,1.9829887477828687,-1.3292528530000016,1.0438290660000007,-0.9859630329999992,1.2385445819999994,1.6137390934999996,0.006437362999998975,0.6053562415,-0.5188475215000001
fur__delfur_fe2__1,-0.5388388517054444,0.15395407899999825,0.03887232199999957,-0.472726054999999,0.6013075319999999,0.1947629795000001,-0.23884707200000044,0.2292959385,0.05120666550000008
fur__delfur_fe2__2,-0.8991642863953511,0.014939036999999544,0.005759821999999914,-0.4264569919999994,0.6226109219999998,0.24935814050000005,0.03036467899999984,0.31020635650000017,-0.04028616450000011
acid__wt_ph5__1,2.5792812025297494,-0.03657761600000065,0.907706566,0.2445666950000005,0.17730274899999898,-0.16279294050000104,0.5402133329999996,0.7226422634999999,4.746613202500002
acid__wt_ph5__2,2.9475897488624905,0.033789607999999305,0.8854765760000003,0.22695780200000026,0.18070148099999986,-0.1503057615000003,0.4310670689999992,0.6039874684999997,4.831399274500001
acid__delgadx_ph5__2,2.7043968853012075,0.3585294089999991,0.6386470709999994,0.14736857200000042,0.041918445000000304,-0.5434340894999998,0.4118779049999999,0.7064404204999999,5.368271028500001
acid__delgadw_ph5__1,3.1087038431228167,0.13649145399999973,0.7741884859999999,0.4227118990000012,0.13294699599999935,-0.15551004249999956,0.5166414059999989,0.6671839154999999,4.996783130500001
acid__delgadw_ph5__2,2.9653283190296564,0.10350239899999993,0.8036499260000003,0.05747584900000114,0.028727889000000676,-0.35314321350000105,0.6555168039999995,0.6889960855000004,4.9824693685
acid__delgade_ph5__1,2.716532710276625,0.015072957999999304,0.4993382329999996,0.25074061100000034,0.245873005,-0.025704217499999515,0.5757739279999994,0.4548568884999993,4.851771408499999
acid__delgade_ph5__2,2.983680069959463,-0.06379485400000108,0.4822611769999998,0.3533819650000005,0.3536770219999994,0.04895864249999882,0.4240030519999989,0.4452644244999986,4.861169202499998
oxidative__wt_pq__1,3.1591149266713727,-2.6720057840000013,2.1614953959999994,0.28711822,2.4493267319999994,-0.2712843035000017,-0.971243137000001,1.1253454755000003,-1.4433816185
oxidative__wt_pq__2,3.5295155650202528,-2.689072338000001,2.173902676000001,-0.2460853709999986,2.150239471999999,-0.21936645250000095,-0.7685424520000009,1.2190429044999993,-1.2951864885000002
oxidative__deloxyr_pq__1,4.7386390161459095,-2.2889415909999995,2.1325921060000006,0.5344758740000009,1.9186836320000005,-0.11140252950000118,-0.3563580120000003,1.0256380375000012,-1.5977810215
oxidative__deloxyr_pq__2,4.824134890047359,-2.1090517759999994,2.155119376,0.30342083499999983,1.8757188320000004,-0.08296399349999994,-0.3977320540000005,1.1128686854999996,-0.5293660815000001
oxidative__delsoxr_pq__1,2.322463070391283,-2.1381601130000023,2.1141333860000007,-0.4556887319999987,2.1746498119999997,0.2789859455000005,-1.0948071400000003,0.8344043914999997,-0.8054020975
