,condition,A_avg,A_std,n,rep1_idx,rep1_A
0,Cr__1,0.008248402588069439,,1.0,0.0,0.008248402588069439
1,Cr__2,0.06216185912489891,,1.0,1.0,0.06216185912489891
2,Cr__3,0.05908520393073559,,1.0,2.0,0.05908520393073559
3,Cr__4,0.08431515105068682,,1.0,3.0,0.08431515105068682
4,Cr__5,0.07563218213617802,,1.0,4.0,0.07563218213617802
5,Cr__6,0.08073104910552502,,1.0,5.0,0.08073104910552502
6,Fe__1,0.27452809989452365,,1.0,6.0,0.27452809989452365
7,Fe__2,1.1168668723106383,,1.0,7.0,1.1168668723106383
8,Fe__3,2.5436735248565667,,1.0,8.0,2.5436735248565667
9,Fe__4,3.7054914259910574,,1.0,9.0,3.7054914259910574
10,Fe__5,4.762564139366151,,1.0,10.0,4.762564139366151
11,Fe__6,5.630860562324524,,1.0,11.0,5.630860562324524
12,Cd__1,-0.0014039029192645105,,1.0,12.0,-0.0014039029192645105
13,Cd__2,-0.022788774296641348,,1.0,13.0,-0.022788774296641348
14,Cd__3,-0.006228331662714482,,1.0,14.0,-0.006228331662714482
15,Cd__4,0.0010067581315524876,,1.0,15.0,0.0010067581315524876
16,Cd__5,0.012471113158389923,,1.0,16.0,0.012471113158389923
17,Cd__6,0.011303438115864992,,1.0,17.0,0.011303438115864992
18,Zn__1,0.016912060538306833,,1.0,18.0,0.016912060538306833
19,Zn__2,0.2505711790919304,,1.0,19.0,0.2505711790919304
20,Zn__3,0.3594053968787193,,1.0,20.0,0.3594053968787193
21,Zn__4,0.4569326528906822,,1.0,21.0,0.4569326528906822
22,Zn__5,0.391646349132061,,1.0,22.0,0.391646349132061
23,Zn__6,0.3200747117400169,,1.0,23.0,0.3200747117400169
24,Cu__1,0.0037273815181106326,,1.0,24.0,0.0037273815181106326
25,Cu__2,0.008852442977949977,,1.0,25.0,0.008852442977949977
26,Cu__3,0.036816411241889,,1.0,26.0,0.036816411241889
27,Cu__4,0.06405908808112144,,1.0,27.0,0.06405908808112144
28,Cu__5,0.10941064074635504,,1.0,28.0,0.10941064074635504
29,Cu__6,0.13499756827950474,,1.0,29.0,0.13499756827950474
30,Pb__1,-0.00011273488235019612,,1.0,30.0,-0.00011273488235019612
31,Pb__2,0.005675855274312198,,1.0,31.0,0.005675855274312198
32,Pb__3,0.003473814087919891,,1.0,32.0,0.003473814087919891
33,Pb__4,-0.018527403715997936,,1.0,33.0,-0.018527403715997936
34,Pb__5,-0.031341472305357464,,1.0,34.0,-0.031341472305357464
35,Pb__6,-0.04808940842747688,,1.0,35.0,-0.04808940842747688
