locus,gene_weight,gene_name,gene_product,operon,regulator,link
phoB,0.3116588991880417,phoB,Signal transduction mechanisms,phoBR,"['phoB', 'rpoD']",
ugpB,0.2616539561748505,ugpB,Cell wall/membrane/envelope biogenesis,ugpBAECQ,"['arcA', 'crp', 'phoB', 'rpoD']",
phnC,0.2488182888925076,phnC,Inorganic ion transport and metabolism,phnCDE_1E_2FGHIJKLMNOP,"['arcA', 'phoB', 'rpoD']",
envY,0.15353455737233165,envY,Transcription,envY-ompT,['nac'],
