,rrnB
Cr_1,0.002949814336298056
Cr_2,0.007624920553770606
Cr_3,0.009898288324206445
Cr_4,0.01645524350657938
Cr_5,0.02315389049005484
Cr_6,0.04571782415191737
Fe_1,0.005475502571375724
Fe_2,0.026583074660308653
Fe_3,0.051265051115337926
Fe_4,0.06110604146765936
Fe_5,0.07054910081309904
Fe_6,0.07105330951640007
Cd_1,0.003099276954694743
Cd_2,0.0021098145863507824
Cd_3,0.00532871645475911
Cd_4,0.00820728093486332
Cd_5,0.009878674230839409
Cd_6,0.021490616206215733
Zn_1,0.0055499370399119405
Zn_2,0.01718006478686081
Zn_3,0.024559412352393787
Zn_4,0.029156908070867963
Zn_5,0.020140813607208
Zn_6,-0.003678533850269568
Cu_1,0.01151417513473745
Cu_2,0.0288057190450083
Cu_3,0.046216940068041036
Cu_4,0.05943462240810843
Cu_5,0.06564931820518355
Cu_6,0.06864494521086335
Pb_1,-0.011285868185090446
Pb_2,-0.023829922708373343
Pb_3,-0.039210618596564745
Pb_4,-0.05532455007401093
Pb_5,-0.0711736024872596
Pb_6,-0.08180499221951884
