,ABUW_2686
SRX3737100,-1.3629392088
SRX3737101,-2.6098301551
SRX3737103,-0.2823734456
SRX3737104,-0.0482181775
SRX3737105,0.0041206847
SRX3737106,0.0258877588
SRX3737107,0.018209734
SRX3737108,-1.5745979948
SRX3737109,-1.7111104613
SRX3737110,-0.7028234777
SRX3737111,-1.4023529901
Abaum_0017,0.0031120759
Abaum_0018,-1.3445731808999999
Abaum_0019,-1.2297753507
Abaum_0020,-6.0401670467
Abaum_0021,-0.0686288116
Abaum_0022,-0.3063581291
Abaum_0023,-0.0031120759
Abaum_0024,-6.4508633355
Abaum_0025,-0.6421730647
Abaum_0026,-0.2127381005
SRX3141471,-1.6966189315
SRX3141472,-1.0688138829
SRX3141473,0.1627990625
SRX3141474,0.9060148205
SRX3141475,-2.3927718055
SRX3141476,-2.089112903
SRX3141477,-1.5923875189
SRX3141478,-0.6217229092000001
SRX3141479,-1.8033509042
SRX8944518,0.0796361003
SRX8944519,-0.7252334913
SRX8944520,-0.2206230347
SRX8944521,-0.55115326
SRX8944522,0.1409869344
SRX8944523,1.0502255116
SRX5930997,-0.2908963321
SRX5930998,1.4004887652
SRX5930999,-1.1095924331
SRX5931001,-1.4747185569
SRX5931002,-1.8164078417
SRX4488546,-0.0632308147
SRX4488547,-0.29879051630000003
SRX4488548,-4.2785318919
SRX4488549,0.362021331
SRX4488550,-2.8117137217
SRX4488551,-2.8198163556
SRX4488552,-3.1964002692
SRX4488553,-3.2661773651
SRX4488554,-4.0300260118
SRX4488555,-4.406604368
SRX4488556,-3.2924091358
SRX4488557,-3.7814718128
SRX2568047,-3.6176652357
SRX2568048,-3.6854420381
SRX2568049,-3.7838074656
SRX2568050,-4.7480446614
SRX2568051,-5.0742152408
SRX2568052,-4.6533595514
SRX2568053,-3.6871828277
SRX2568054,-3.2256968705
SRX2568055,-3.7117638033
SRX2568056,-5.1052118886
SRX2568057,-4.7137981223
SRX2568058,-5.0635719068
SRX2568059,2.6658214389
SRX2568060,2.6691317271
SRX2568061,2.7712245875
SRX2568062,0.3028553761
SRX2568063,0.4477248146
SRX2568064,-0.7505801907
Abaum_0001,1.2879751408
Abaum_0002,0.0516997145
Abaum_0003,1.1108493015
Abaum_0004,1.1204490298
Abaum_0005,1.7957727901
Abaum_0006,1.8134433142000002
Abaum_0007,2.9199367197
Abaum_0008,0.18193133220000002
Abaum_0009,-0.37717578430000004
Abaum_0010,0.6352959793
Abaum_0011,0.18716982640000002
Abaum_0012,-0.18716982640000002
Abaum_0013,0.7791374567
Abaum_0014,0.47657791800000004
Abaum_0015,0.5559764679
Abaum_0016,0.41252973540000004
ERX1221046,0.2355776196
ERX1221048,-0.3681701009
ERX1221049,0.1325924813
ERX1221050,-0.8057791314
ERX1221052,-0.23598788550000002
ERX1221053,-0.1508650449
ABNM035,-1.4217928745
ABNM036,1.4217928745
ABNM037,1.4010814445
ABNM038,0.2491789405
ABNM041,0.2553233055
ABNM042,1.6796968045
ABNM019,0.6033106057000001
ABNM020,-0.6033106057000001
ABNM021,-1.3926353253000001
ABNM022,-0.9232565907
ABNM023,-1.3889581874
ABNM024,-1.4964923504
ABNM025,-1.4533976107
ABNM026,-1.8720028761
ABNM027,1.1482686191
ABNM028,-1.1482686191
ABNM029,1.7800442662
ABNM030,-1.1838804508
ABNM031,-0.7937832973000001
ABNM032,-1.510837262
ABNM033,-1.0369500061
ABNM034,0.6188033856
ABNM001,0.8850144789000001
ABNM002,-0.8850144789000001
ABNM003,3.6803160538
ABNM004,1.5588821405000002
ABNM005,3.501729971
ABNM006,3.2511310637
ABNM007,2.6107987102
ABNM008,1.829841022
ABNM009,1.8445342874000001
ABNM010,1.1446754661
ABNM043,-0.106747724
ABNM044,0.106747724
ABNM045,-0.086820909
ABNM046,-0.086126591
ABNM047,-1.277894724
ABNM048,-1.213743218
ABNM011,-0.1354935902
ABNM012,0.1354935902
ABNM013,-1.1971415952
ABNM014,-1.3897123103
ABNM015,0.8713842139
ABNM016,-0.8779854770000001
ABNM017,-1.2296754771
ABNM018,0.031132110100000002
