,A,Fis,Crp,Cra
R2,,0.10282433277996739,0.04317977058405331,0.009607925853138632
xmin,,-4.8936592304,-9.852476477,-7.2746930645
xmid,,,-1.1868267909569243,-4.591307800870339
xmax,,4.361795663,2.5388323397,2.4360738119
ystart,,3.0629458797683924,1.1625653354082297,-0.9708508013853703
yend,,-2.4770382491072227,-1.7101596354854975,0.9753697272026296
aat__00m_00s__1,-0.6543762254000001,0.1452799267,0.0344951212,0.062006051900000005
aat__00m_30s__1,0.3932569406,0.032152022100000004,0.1435731223,-0.1314214465
aat__01m_00s__1,0.25219646090000003,-0.11344229280000001,0.2534372822,0.0314530619
aat__02m_00s__1,0.1024301865,-0.6030691047,0.283920339,-0.1295274102
aat__05m_00s__1,-0.39258635820000004,-0.7040569003,0.3175329239,-0.2247240932
aat__10m_00s__1,-0.1314516708,-0.3000441569,0.17602055360000002,-0.7116227439
aat__00m_00s__2,0.5185376681,-0.1565872788,0.005256366,-0.1377842684
aat__00m_30s__2,-0.9044787984,0.0544366627,0.2819816342,-0.0278778495
aat__01m_00s__2,-0.2382338146,-0.2428967066,0.2801678667,-0.0861555941
aat__02m_00s__2,-0.1032113992,-0.7952871017,0.4762089513,-0.0825496888
aat__05m_00s__2,-0.4297560192,-1.2037749275,0.5370175003000001,-0.0984813253
aat__10m_00s__2,-0.2390084681,-0.8523048087,0.5086233319,-0.48781484950000004
aat__00m_00s__3,0.1358385573,0.011307352100000001,-0.039751487200000005,0.07577821650000001
aat__00m_30s__3,0.2603179088,0.29622605760000004,0.2905320638,-0.0035574465000000003
aat__01m_00s__3,0.1851363457,0.0283022157,0.1859933018,-0.16898320120000002
aat__02m_00s__3,-0.0109634534,-0.43191519440000004,0.3699621097,-0.3037351676
aat__05m_00s__3,-1.0840964785,-1.1986122972,0.5483756585,-0.012594644700000001
aat__10m_00s__3,-0.7260699711,-1.2380068344,0.50143841,-0.2651798535
abx_mega__dmso-2__1,1.1829186882,-0.1179993382,-0.4516798918,0.7869246933
abx_mega__ery_dmso__1,-3.9406588831000002,0.7771395971,-1.8893970692000002,-1.9643924144
abx_mega__nal_naoh__1,1.3042297652000001,0.1724641512,-0.1701238306,0.2616035103
abx_mega__dmso-5__1,0.37859244680000004,-0.4379147116,0.1340371706,0.0813911834
