,-0.12145273322139134,-0.10795798508568119,-0.09446323694997104,-0.08096848881426089,-0.06747374067855073,-0.05397899254284058,-0.04048424440713043,-0.026989496271420277,-0.013494748135710125,2.7755575615628914e-17,0.01349474813571018,0.02698949627142032,0.040484244407130485,0.05397899254284065,0.06747374067855079,0.08096848881426093,0.0944632369499711,0.10795798508568126,0.1214527332213914,0.13494748135710155
thresh,-0.1282001072892464,0.1282001072892464,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,4,20,80,233,796,2159,943,212,49,16,2,1,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
