,-0.10605482864229762,-0.0848438629138381,-0.06363289718537857,-0.04242193145691904,-0.021210965728459513,1.3877787807814457e-17,0.02121096572845954,0.042421931456919054,0.0636328971853786,0.08484386291383814,0.10605482864229765,0.12726579437075716,0.1484767600992167,0.16968772582767624,0.19089869155613573,0.21210965728459527,0.2333206230130548,0.2545315887415144,0.27574255446997387,0.29695352019843335
thresh,-0.11666031150652739,0.11666031150652739,2,,,,,,,,,,,,,,,,,
unreg,0,0,1,18,719,4161,613,34,4,1,0,0,0,0,0,0,0,0,0,0
QscR,0,0,0,0,1,11,2,0,0,0,0,0,1,0,2,1,1,2,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
QscR_genes,[],[],[],[],['phzA2'],"['phzA1' 'phzD1' 'phzF2' 'phzB2' 'phzC1' 'phzG2' 'phzD2' 'phzE2' 'phzC2'
 'phzE1' 'phzF1']",['phzB1' 'phzG1'],[],[],[],[],[],['PA1891'],[],['PA1893' 'PA1892'],['PA1895'],['PA1896'],['PA1894' 'PA1897'],[],[]
