locus,gene_weight,gene_name,gene_product,cog,operon,regulator,DecR,link
b3110,0.4320222025,cyuP,putative D/L-serine transporter,Amino acid transport and metabolism,yhaOM,"YeiE,YbaO,DecR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12754
b4470,0.35570722800000004,cyuA,putative L-cysteine desulfidase CyuA,Function unknown,yhaOM,"YbaO,DecR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7622
