,A,DecR
R2,,0.00983155475614006
xmin,,-5.691277353
xmid,,-1.8061145146784112
xmax,,5.7539907837
ystart,,-0.5236291280802027
yend,,1.213858546018046
SRX1125282,-0.0399636851,0.1652230257
SRX1125283,-0.3421979188,0.025227557
SRX1125284,-0.7465992402,0.0380434506
SRX1125285,-0.34135974550000003,-0.0283201891
SRX1125286,-1.3844858394,-0.3662709121
SRX1125287,-1.7681560028,0.6351905698
SRX1125288,-0.172223864,-0.026876983
SRX1125289,-0.4560846229,-0.6815630038
SRX1125290,-0.13286307690000002,-0.1524302495
SRX1125291,-0.5538744813,-0.1722272903
SRX1125292,-1.0400199612,0.1479231184
SRX1125293,-0.5545866132,0.5896366053000001
SRX1125294,0.212187549,-0.1383460427
SRX1125295,-0.6174397337,0.4892889634
SRX1125296,-0.4910273101,0.0678855761
SRX1125297,-0.3760868409,-0.13858838440000001
SRX1125298,-0.6447684171,0.10123603070000001
SRX1125299,-0.7575636739,0.8320600169
SRX5694250,-1.4607838326,-0.4384922846
SRX5694251,-4.4363500596,-0.1510080311
SRX5694252,-1.9778736531,0.20225661720000002
SRX5694253,-1.2178628821,0.1719308683
SRX5694254,-1.8852440873,-0.41832351710000004
SRX5694255,-2.7790958897999998,0.008874108
SRX5694256,-1.0728849523,0.32068921240000003
SRX5694257,-2.9973503338,0.8564434706
SRX5694258,-2.3737136608,0.41919302140000003
SRX5694259,-4.0305561093,-0.9397003622000001
SRX5694260,0.8761121719,0.1072289688
SRX5694261,-3.5905180436,0.30378182
SRX5694262,-3.3243100636,0.0301894634
SRX5694263,-0.42283608170000003,-0.1246080086
SRX5694264,-2.9818215904,0.020225080200000002
SRX5694265,0.5650908795,-0.416847721
SRX5694267,-1.8072651098999999,-0.24314414040000001
SRX5694268,-0.2513879533,-0.19126262360000001
SRX5694269,0.5644676596,0.2809420555
SRX5694271,-2.5087703629,0.39415081500000004
SRX5694273,0.7975915126,-0.269788647
SRX5694274,0.5752349345000001,0.1316081219
SRX5694275,1.9647319912999999,-0.7537517215
SRX5694276,-2.197291825,0.06785170900000001
SRX5694277,0.7491769415,0.19116349900000001
SRX5694278,-2.4912425576,-0.9201923513
SRX5694279,-2.8724580183,-0.3059400491
SRX5694280,-2.7537445273000003,-0.2118239403
SRX5694281,-1.9755173190000002,-0.9011495483
SRX5694282,-0.4396834237,0.7378088568000001
SRX5694283,0.642384193,0.3493054303
SRX5694284,-1.93948575,0.1476065534
SRX5694285,1.298048511,-0.3504311745
SRX5694286,1.6628460391000002,-0.2074652021
SRX5694287,-0.6652824191000001,0.718448537
SRX5694288,-2.6753864115,0.6566163718
SRX5694289,-1.2236408716,0.1986728191
SRX5694290,-3.4830659507,0.3482082879
SRX5694291,-2.751102061,-0.1123798181
SRX5694292,-1.4265221614999999,-0.5600526034000001
SRX5694293,-2.2639796255,0.6827253286
SRX5694294,-2.830268176,0.3484224949
SRX5694295,-2.9289007811000003,0.3467104663
SRX5694296,-1.1234519238,0.3894136399
SRX5694297,-1.3319237649,0.0534480798
SRX5694298,-2.207235613,-0.1654748797
SRX5694299,-1.8370267334000001,-0.2487113933
SRX5694300,-0.541313371,-0.251535597
SRX5694301,-1.3808951887,-0.7667745878000001
SRX5694302,-0.9442694265,-0.2175040245
SRX5694303,-0.6593338195,0.20186085010000002
SRX5694304,0.33701476080000003,-0.14058896740000001
SRX5694305,-3.1831065108,-0.4842948514
SRX5694306,-1.4286286666,-0.906788341
SRX5694307,-0.7502671545,1.768103484
SRX5694308,-1.0489372093,-0.3841348397
SRX5694309,-3.3213798863,-0.6033926074
SRX5694310,-2.9174708013,-1.0636125183
SRX5694311,-3.0657904167,-0.5337582184
SRX5694312,-2.1026371554,-0.9134910189000001
SRX5694313,-2.9772216192,-0.3168897134
SRX5694315,0.6220226379,0.040006996
SRX5694317,-1.8503098473000001,0.0548740085
SRX5694319,-2.5652151919,0.3352239896
SRX5694320,-3.1021743613,-0.4199298314
SRX5694321,-2.3525014998,-0.08833015620000001
SRX5694322,-1.2331386341,0.5757129950000001
SRX5694323,-2.2226861965,-0.5076943952
SRX5694324,-1.8680219116,-0.2671333328
SRX5694325,-3.8087576815,0.44316941590000003
SRX5694326,0.4393984755,0.1880134323
SRX5694327,-4.1012953316,-0.7588653666
SRX5694328,-2.372350401,0.7695970196
SRX5694329,-1.3551329752,0.24372901770000002
SRX5694330,-3.2144225786,0.4125567524
SRX5694331,-2.0322917133,0.4286080453
SRX5694332,-0.3760566735,0.2962528038
SRX5694334,-1.7172686861000002,-0.2814879823
SRX5694335,-2.2360590938,-0.49112934280000003
SRX5694336,-2.5294809212000002,-0.27420361
SRX5694337,1.0680297735,0.2430540542
SRX5694338,-1.013584337,-0.5764994615
SRX5694339,-2.016029875,0.2339029414
SRX5694340,-0.1534777309,-0.2487517746
SRX5694341,-2.6885416170000003,-0.199592829
SRX5694342,-0.14546822850000002,-0.059410797700000004
SRX5694343,-0.9558420778000001,0.138262577
SRX5694344,-1.6309511456,0.3818174754
SRX5694345,-1.4310286332,0.5973617703
SRX5694346,-1.6489983096,-0.3435901623
SRX5694347,-2.2637102898,-0.14827193730000002
SRX5694348,-1.7563234094,-0.7485566640000001
SRX5694349,-0.7716943917,-0.7498170091
SRX5694350,-1.6924805962,-1.1525036487
SRX5694351,-2.6880377006,1.5869122325
SRX5694352,-1.6923739494,-0.09464461910000001
SRX5694353,-2.2225287439,0.28057385890000003
SRX5694354,-0.7597166134000001,-0.6372814498
SRX5694356,-1.7988918278,0.1983656974
SRX5694357,-1.3745366774,-0.0135528326
SRX5694358,-1.1446139219,-0.4944822438
SRX5694359,0.5927954415000001,-0.2135223238
SRX5694360,1.9569813442,0.16040450550000002
SRX5694361,-0.4228686703,-0.11398737610000001
SRX5694362,-1.8271181110999999,0.6258473648
SRX5694363,-2.4779634682,0.8232052289
SRX5694364,-2.9392860214,-1.2981246192
SRX5694365,-6.7655668432,0.9425716284000001
SRX5694366,-3.118957698,-0.0875382304
SRX5694367,-3.3143849662,0.8153588449
SRX5694368,0.18197239540000001,0.1971783654
SRX5694369,2.3300589752,0.047813493000000006
SRX5694370,-0.6158089320000001,0.1528935683
SRX5694371,-2.0081042559,-0.9796265191
SRX5694372,1.9472699644,-0.1595896997
SRX5694373,-1.0941258351,-1.0020597579
SRX5694374,-0.8898061709,-0.1992024863
SRX5694375,-0.9134205925000001,-0.35990288810000004
SRX5694376,-3.0776302091,-0.1519487852
SRX5694377,-1.1481932929,-0.6988840890000001
SRX5694378,2.1002966601,0.2600910992
SRX5694379,-0.3407395298,0.2226357722
SRX5694380,-1.118930049,-0.41904356800000003
SRX5694381,-4.1867958413,0.5379839917
SRX5694382,-1.46669131,0.4561692972
SRX5694383,-1.1965972833,-0.7573456226
SRX5694384,-2.0579937713,0.3651836498
SRX5694385,-0.6300603881,1.2503505611
SRX5694386,-2.0248228656,-1.7006026291
SRX5694387,-3.3876671480000002,0.1052305585
SRX5694388,-1.3960361196,-0.5447074928
SRX5694389,0.2972540784,-0.3087522012
SRX5694390,-1.7442941679000001,-0.7198296505
SRX5694391,-2.1070380268,-0.1349156493
SRX5694392,-0.1684737838,0.060836235
SRX5694393,-2.3878698103,0.4770003937
SRX5694394,-1.6434277617,-0.1426579178
SRX5694395,-1.6800025323,0.8527687224
SRX5694396,-3.8050613211,1.3281968788
SRX5694397,-2.3906012916,-1.2778460746
SRX5694398,-1.8905658327000001,-0.5847147288
SRX5694399,-3.0226145873,0.5251973796
SRX5694400,1.2859361691,-0.2341492404
SRX5694401,1.6397050479000002,0.3012045171
SRX5694402,-1.5236311815999999,-1.6461112234000002
SRX5694403,0.9160863643,0.2868847617
SRX5694404,-2.1047038979,-1.1692943269
SRX5694405,-1.9683878901,0.16766001
SRX5694406,-1.3148153685000001,-0.2313569246
SRX5694407,-0.7022921310000001,0.21394443330000001
SRX5694408,-0.69321577,-0.0450567269
SRX5694409,-2.3825936522,-0.33912211670000003
SRX5694410,0.5552807292,0.0569610344
SRX5694411,1.7182558521,1.4668584225
SRX5694412,-0.0551937328,-1.1621621609
SRX5694413,1.2949220597,-0.7405159004
SRX5694414,-4.3969057494,0.1399612832
SRX5694415,-1.5096752394,-0.899999752
SRX5694416,0.0193070319,0.1354579032
SRX5694417,-1.8602176019,0.7018149279
SRX5694418,-4.0475187222,0.2057182783
SRX5694419,-2.2933530089,-0.3256579545
SRX5694420,-1.0323842013,-0.022265646
SRX5694421,-4.2949546864,0.1787379006
SRX5694422,-1.4063394376,0.5836545282
SRX5694423,-1.2850310396,-0.5100075649
SRX5694424,-2.2173849141,-0.5531306644
SRX5694425,-0.8122896345,-0.6756166212
SRX5694426,-1.2578082295,0.3215987151
SRX5694427,0.5429599716,-0.1312466441
SRX5694428,2.1049732342,0.3773600301
SRX5694429,1.6540777312000001,1.5170222075000002
SRX5694430,-0.1774709699,0.23772029
SRX5694431,-2.1963099536,0.9372905071000001
SRX5694432,1.801160187,0.0217912551
SRX5694433,1.5528637046,0.46356050050000003
SRX5694434,-1.2092221881,0.5472913206000001
SRX5694435,-3.7903375924000002,-0.7355871737
SRX5694436,-2.5109806411999998,-0.406621157
SRX5694437,-4.5687997194,0.9779235178000001
SRX5694438,-1.2993015884,-0.3739476606
SRX5694439,-4.519342477,0.5590809704
SRX5694440,-2.5836401652000003,0.1966979831
SRX5694441,-1.3483616995,0.42919754400000004
SRX5694442,-2.5105744062,-0.18692907250000002
SRX5694443,1.259100001,0.059983573400000004
SRX5694444,-1.7821612392000001,-0.8758464475000001
SRX5694445,-3.7515357995,0.0706290287
SRX5694446,-1.9980425165,-0.1225426862
SRX5694447,-1.7070415393,-0.33615055650000003
SRX5694448,-2.2268887559,-0.013373799300000001
SRX5694449,0.4025196036,0.2611794132
SRX5694450,-0.3761192043,-0.4671165685
SRX5694451,1.7960929539000001,0.46727767010000004
SRX5694452,-3.4948919887,1.6725861998
SRX5694453,0.2475673779,0.9848211656
SRX5694454,-2.2368776897,0.17291183370000002
SRX5694455,-0.9114356948000001,-0.3349655003
SRX5694456,-0.6251642725000001,0.2365450369
SRX5694457,-2.7431099173,1.1545253609000001
SRX5694459,-3.6386040382,0.7641630681
SRX5694460,-1.4168983464,-0.18273571500000002
SRX5694461,3.5694342649,0.0875974841
SRX5694462,-3.3545042482,-1.0666904247
SRX5694463,-0.5476146278,-0.3324123492
SRX5694464,2.2780081982000002,-0.1542350788
SRX5694465,0.2281127188,-0.13953336660000001
SRX5694466,-4.7333613375,0.5446571936
SRX5694467,-1.6487121073000002,-0.18500979210000001
SRX5694468,-3.2034324499,-0.48580763200000004
SRX5694469,-0.7591854542,-0.2056046666
SRX5694470,-0.006617237000000001,-0.2137418382
SRX5694471,-0.9982340566000001,0.11877896930000001
SRX5694472,-1.6482865443999999,0.144046495
SRX5694474,0.4377046411,0.0707276725
SRX5694475,1.139111293,0.049656077400000005
SRX5694476,-0.39643866,-0.7742007655
SRX5694477,0.7683899999,-0.4642793472
SRX5694478,1.1981494944,-0.4545760297
SRX5694479,-2.5273222362,-0.8203944659
SRX5694480,-1.6712968578,0.002452559
SRX5694481,-1.6763134533000001,-0.434110816
SRX5694482,-2.1664840058,0.8855625176
SRX5694483,1.3801892071,0.0692726064
SRX5694484,2.2476451951,0.0040938104
SRX5694485,-0.957484968,-0.2847582099
SRX5694486,-1.824533616,0.3866992268
SRX5694487,0.7826225321,0.24048687870000002
SRX5694488,-2.5110243187,-0.9410774150000001
SRX5694489,-1.0762278734,-0.2188369909
SRX5694491,2.1965716028,-0.1888602449
SRX5694492,-1.5582772414,0.2762176076
SRX5694493,0.0644771741,0.6263240296
SRX5694494,0.3065233734,-0.0292034046
SRX5694495,-3.4076417789,0.6410380103000001
SRX5694496,-2.3985549777,0.2958225034
SRX5694497,0.6549503188,-0.0667701367
SRX5694498,0.2124363507,0.4025197319
SRX5694499,-3.3954289555,-0.33460451490000004
SRX5694500,-1.8180367311999999,-0.3911130713
SRX5694501,0.8207252672,-0.28415340910000003
SRX5694502,-4.076874679,0.4513505336
SRX5694503,-3.2590370857,0.15668642800000002
SRX5694504,-2.3043253662,0.4242783443
SRX5694505,-4.5758468885,-0.9299731640000001
SRX5694506,-1.498242093,1.1491625358
SRX5694507,-2.6594647574,0.41700099290000003
SRX5694508,-2.1816167657,-0.4591222029
SRX5694509,0.1063317027,0.2111944091
SRX5694510,-0.1756169504,-0.1047224809
SRX5694511,-1.6212795661000001,-1.022600211
SRX5694512,1.1551315702,-0.28179119080000004
SRX5694513,-1.077771724,-0.4534267648
SRX5694514,-0.5615856241,-0.3710487471
SRX5694515,0.5368428528,1.1369744034
SRX5694516,-5.3507312573,0.2771909415
SRX5694517,-1.7205579523,-0.1099751832
SRX5694518,1.0564373891,-0.1937465122
SRX5694519,-4.1721815127,-0.2798411856
SRX5694520,-1.5754208991,-0.028704905500000003
SRX5694521,-0.3543091156,0.3545648883
SRX5694522,-1.8959218903,-1.1055870418
SRX5694523,0.391413567,-0.2280369924
SRX5694524,-1.125001436,-0.1871115523
SRX5694525,-1.3386314492,0.40631893150000004
SRX5694526,-0.7821255769000001,-0.2335256282
SRX5694527,-2.8449230759,-0.5870692212
SRX5694528,-3.7332486001,-0.5531264401
SRX5694529,-0.3273739799,-0.4512868937
SRX5694530,0.1427675984,0.0110746126
SRX5694532,-0.3606230582,0.1353100095
SRX5694533,-4.2633238149,0.32503250840000003
SRX5694534,1.814845818,1.2629384142
SRX5694535,-1.7228630644,-0.08828304520000001
SRX5694536,-0.4209949918,-0.9028311718
SRX5694537,0.3278060776,0.11870061700000001
SRX5694538,1.0479953819,0.18032627710000002
SRX5694539,0.010034606100000001,-0.0830627427
SRX5694540,-0.1443753785,0.145393473
SRX5694541,1.3226294386,-0.1804043055
SRX5694543,-4.6330360884,0.1564676882
SRX5694544,1.6157767734,-0.036076687
SRX5694545,-1.0280313617,-0.7559169903
SRX5694546,-0.8015641629,0.2911677239
SRX5694547,-0.7704474567,0.4305697799
SRX5694548,-0.0126897949,0.078283935
SRX5694550,-1.9523593869,-0.1767741989
SRX5694551,-0.2953121076,-0.3592902052
SRX5694552,-1.7712050160000001,0.2643277767
SRX5694553,-1.6775147825999999,0.44165165040000004
SRX5694554,0.6264849024,-0.27148564010000004
SRX5694555,-2.1171976103,0.5749272876
SRX6072760,-5.2437305875,-0.886100239
SRX6072761,-6.5296451853,-0.7653087635
