,A,TrpR
R2,,0.007669921658754686
xmin,,-4.501590303
xmid,,0.00042811352438682664
xmax,,1.809756259
ystart,,0.40181186719550327
yend,,1.5829029877772482
aat__00m_00s__1,0.8768942393,0.1606012865
aat__00m_30s__1,0.10702393090000001,-0.12391958400000001
aat__01m_00s__1,-0.25375315060000003,-0.3100386518
aat__02m_00s__1,-0.9643089204,-0.3505925313
aat__05m_00s__1,-1.0204935021,-0.3777912278
aat__10m_00s__1,-0.7838619710000001,-0.3950456975
aat__00m_00s__2,-0.5955326188,-0.09263666670000001
aat__00m_30s__2,-1.023316439,-0.005369098100000001
aat__01m_00s__2,-1.0689018989,-0.32856537480000003
aat__02m_00s__2,-1.8854996567,-0.3608583647
aat__05m_00s__2,-1.5849297671,-0.7617888625
aat__10m_00s__2,0.6165264159,-0.43776206
aat__00m_00s__3,-0.2813616205,-0.0679646198
aat__00m_30s__3,0.1838530226,-0.1159042373
aat__01m_00s__3,-0.752638892,-0.5761793605000001
aat__02m_00s__3,-1.4276972081000001,-0.5679268645000001
aat__05m_00s__3,-0.6492109163,-0.3429598373
aat__10m_00s__3,0.0423283375,-0.1071757698
abx_mega__dmso-2__1,-6.460129435,-1.4564430838
abx_mega__ery_dmso__1,-3.4901750341,0.1412312607
abx_mega__nal_naoh__1,-5.3007907484,-1.2722492634
abx_mega__dmso-5__1,-1.5400875901000002,-0.1319763557
abx_mega__rif_dmso__1,-2.3889232286,-0.0272524143
abx_mega__novo_h2o__1,0.2326505857,-0.6445440887
abx_mega__rach_dmso__1,1.4488819503,0.1825067264
abx_mega__metro_dmso__1,-0.9118598218,0.5407103555
abx_mega__dmso-6__1,-3.2750317404000002,0.2813199014
abx_mega__chl_h2o__1,-0.560523014,-0.0057941823
abx_mega__cst_h2o__1,-0.7669157978000001,-0.0796885586
abx_mega__tec_h2o__1,-3.6955834459,-0.40840924500000003
abx_mega__str_h2o__1,-7.1603001222,-4.2186842036
abx_mega__ctx_h2o__1,0.3857161544,-0.045439042900000004
abx_mega__nal_naoh__2,-2.1168672336,0.3580623493
abx_mega__phos_h2o__1,-0.2475005858,-0.13159776850000002
abx_mega__dmso-5__2,-1.439614357,-0.5216482739
abx_mega__polmyx_h2o__1,-1.2015259038,0.3895198053
abx_mega__h2o-8b__1,-1.9248637669000002,-0.039398632600000004
abx_mega__h2o-6__1,-3.1056080903,0.2890302314
abx_mega__thio_dmso__1,-2.533409037,-1.2549466185
abx_mega__phos_h2o__2,-1.0918890209,0.0078976311
abx_mega__ctx_h2o__2,1.5126239746999999,-0.0422744955
abx_mega__lzd_dmso__1,-2.0083592855,-0.40694977600000004
abx_mega__naoh-9__1,-1.1985400502,-0.2235667319
abx_mega__dox_dmso__1,-3.9995025892,-0.7883010974
abx_mega__phos_ethanol__1,-0.9065335976000001,0.5648314589
abx_mega__teix_dmso__1,-2.4430384832,-0.6757463920000001
abx_mega__dmso-10__1,-1.1980170670999999,0.0938522044
abx_mega__van_dmso__1,-3.1735029167,-0.9910347279
abx_mega__ramo_h2o__1,-0.6327698415,-0.3647642205
abx_mega__tec_h2o__2,0.1508511323,0.42645153820000004
abx_mega__h2o-7__1,-1.6601302558,-0.03884322
abx_mega__cro_h2o__1,0.8438123478,-0.32697952610000003
abx_mega__tric_ethanol__1,-4.4072231996,0.2875256249
abx_mega__nor_naoh__1,-1.8484925714,-0.0038189972000000003
abx_mega__teix_dmso__2,-1.2727921499,-0.0298895718
abx_mega__nal_naoh__3,-1.6649561788,0.1274702044
abx_mega__novo_h2o__2,0.6361946163000001,-1.3044664898
abx_mega__dmso-10__2,-1.6952147894,0.1824383286
abx_mega__phos_h2o__3,-3.6152991572,-0.0754561205
abx_mega__dmso-6__2,-2.1204991106,-0.0136724797
abx_mega__rfp_ethanol__1,0.5001570102,-1.1039713668
abx_mega__dmso-5__3,-1.4640608856,0.4182343781
abx_mega__amyc-d_dmso__1,1.1085327213,0.18960378590000002
abx_mega__sxt_dmso__1,0.0663362693,-0.0540716529
abx_mega__dmso-1__1,-1.4682817648,-0.2880843349
abx_mega__pen_h2o__1,0.6726751262,-0.5638210717000001
abx_mega__dmso-10__3,-2.3624664986,0.2457184409
abx_mega__nal_naoh__4,-0.27068704120000003,0.0161267074
abx_mega__cip_naoh__1,0.5186185106,-0.015366392000000001
abx_mega__pen_h2o__2,0.10218363150000001,-0.28197189510000004
abx_mega__ery_dmso__2,-3.0334079816,-0.3701911818
abx_mega__dmso-2__2,-4.0286620937,-0.4252307963
abx_mega__van_dmso__2,-2.9016036882,-1.1390617793
abx_mega__h2o-1b__1,0.2643329136,0.096314249
abx_mega__ery_h2o__1,1.6862383097,-0.6346805284
abx_mega__bacit_h2o__1,-4.0939308789,-0.4131177199
abx_mega__chl_h2o__2,-1.450775299,-0.3477316005
