,-0.07773066753333333,-0.038865333766666656,1.3877787807814457e-17,0.038865333766666676,0.07773066753333335,0.11659600130000003,0.15546133506666668,0.19432666883333335,0.23319200260000003,0.27205733636666674,0.3109226701333334,0.3497880039000001,0.38865333766666665,0.42751867143333333,0.4663840052,0.5052493389666667,0.5441146727333334,0.5829800065,0.6218453402666667,0.6607106740333334
thresh,-0.05829800065,0.05829800065,1,,,,,,,,,,,,,,,,,
unreg,3,188,5504,202,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
unreg_genes,['PSPTO_RS26720' 'PSPTO_RS25695' 'kdpF'],[],[],[],"['PSPTO_RS27115' 'PSPTO_RS17155' 'PSPTO_2240' 'tnpB' 'PSPTO_3416'
 'PSPTO_RS21030' 'PSPTO_RS29665']",['PSPTO_RS14305'],[],[],[],[],[],[],[],['PSPTO_RS21615'],[],[],[],[],[],[]
