,ydjX
Cr_1,-0.0029178096381717983
Cr_2,0.00033264379322437115
Cr_3,0.01206136449507618
Cr_4,0.01832376963715743
Cr_5,0.032278034075000316
Cr_6,0.04613036771213033
Fe_1,-0.03465964635456023
Fe_2,-0.0981915651506433
Fe_3,-0.12850879330768686
Fe_4,-0.13792253939444818
Fe_5,-0.14592418098832696
Fe_6,-0.14474660389027624
Cd_1,0.000403113660740338
Cd_2,0.006605087312320259
Cd_3,0.010795642467306072
Cd_4,0.01595553037568096
Cd_5,0.01408562354936964
Cd_6,0.013251118848840471
Zn_1,0.003694064569512545
Zn_2,0.016449778307004122
Zn_3,0.03380663202772387
Zn_4,0.03910945704257325
Zn_5,0.0380515317819322
Zn_6,0.03741036314915678
Cu_1,0.003383114941270484
Cu_2,0.016174905698433776
Cu_3,0.02132033894329616
Cu_4,0.023705446640491762
Cu_5,0.03161340642299275
Cu_6,0.0346358299781823
Pb_1,0.008625384096207715
Pb_2,0.017661990171841228
Pb_3,0.02561177785569118
Pb_4,0.028935769293179068
Pb_5,0.04093054765612783
Pb_6,0.04459411153476645
