,A,ArcA
R2,,0.02436664883355233
xmin,,-1.6314585560000001
xmid,,1.5151154133041467
xmax,,2.531055996
ystart,,-5.936756917759187
yend,,4.885922631908393
control__wt_glc__1,0.0318161948,0.036636971000000004
control__wt_glc__2,-0.0318161948,-0.036636971000000004
fur__wt_dpd__1,-1.8617909226,1.058304126
fur__wt_dpd__2,-2.226631166,1.126720666
fur__wt_fe__1,-0.0919284544,-0.05264584
fur__wt_fe__2,-0.16485347990000002,-0.129847039
fur__delfur_dpd__1,-2.0239733672,1.122678696
fur__delfur_dpd__2,-2.3070187663,1.043829066
fur__delfur_fe2__1,-1.8279652723000002,0.038872322
fur__delfur_fe2__2,-1.7317717873,0.005759822
acid__wt_ph5__1,-1.3859830104,0.9077065660000001
acid__wt_ph5__2,-1.3852122692,0.8854765760000001
acid__delgadx_ph5__2,-1.8023978010000001,0.6386470710000001
acid__delgadw_ph5__1,-1.3338157571,0.774188486
acid__delgadw_ph5__2,-1.4113509768,0.8036499260000001
acid__delgade_ph5__1,-0.4836691017,0.499338233
acid__delgade_ph5__2,-0.5924191429,0.48226117700000004
oxidative__wt_pq__1,1.6686033336000001,2.161495396
oxidative__wt_pq__2,1.8464007174,2.173902676
oxidative__deloxyr_pq__1,1.8842501058,2.132592106
oxidative__deloxyr_pq__2,1.3442543257000001,2.155119376
oxidative__delsoxr_pq__1,1.5821664715,2.114133386
oxidative__delsoxr_pq__2,1.6156983649,2.045519786
oxidative__delsoxs_pq__1,2.30026573,2.3445910960000003
oxidative__delsoxs_pq__2,2.0640788463,2.405278176
nac_ntrc__wt_csn__1,-2.2100025991,0.614107743
nac_ntrc__wt_csn__2,-2.0241219095,0.560547789
nac_ntrc__wt_cytd__1,-1.0472570305,0.279501977
nac_ntrc__wt_cytd__2,-0.7293061107000001,0.286099773
nac_ntrc__wt_gln__1,-2.8256856024,0.8913351260000001
nac_ntrc__wt_gln__2,-2.4811265293,0.8662795560000001
nac_ntrc__bw_delnac_csn__1,-3.9971676452000002,0.9463078960000001
nac_ntrc__bw_delnac_csn__2,-3.6894624095,1.058494226
nac_ntrc__bw_delnac_cytd__1,-2.7150889759,0.9694913660000001
nac_ntrc__bw_delnac_cytd__2,-2.6650711022999998,0.9866688160000001
nac_ntrc__bw_delnac_gln__1,-2.5704467274000002,1.779034016
nac_ntrc__bw_delnac_gln__2,-2.6009643137,1.7441336060000001
nac_ntrc__bw_delnac_nh4__1,-4.3886899261,0.532564653
nac_ntrc__bw_delnac_nh4__2,-3.3812268056,0.613698527
misc__wt_no_te__1,-2.3065337276,0.985523586
misc__wt_no_te__2,-2.3091718378,0.614279137
misc__bw_delcbl__1,-2.016857979,0.12568636
misc__bw_delcbl__2,-2.0145413854,0.035046911
misc__bw_delfabr__1,-1.5587606443,-0.24226446100000001
misc__bw_delfabr__2,-1.9449652873,-0.291546346
misc__bw_delfadr__1,-2.4564722006,0.639510641
misc__bw_delfadr__2,-2.4090494436,0.6575469140000001
misc__nitr_031__1,-2.9819882878,1.407530216
omics__wt_glu__1,0.2353106955,-0.273254272
omics__wt_glu__2,0.19233113300000002,-0.267923509
omics__wt_gly__1,-0.5877178126,-0.30586483000000003
omics__wt_gly__2,-0.8900825550000001,-0.24486246900000003
omics__wt_thr__1,-12.5643000007,-0.121007954
omics__wt_thr__2,-13.2837578908,-0.04399066
omics__bw_ac__1,4.6418418175,-0.048029848
omics__bw_ac__2,4.787707018,-0.076148239
omics__bw_fum__1,0.3179655102,-0.046794311000000005
omics__bw_fum__2,0.3188897155,-0.08552493700000001
omics__bw_glc__1,-0.5200616697,0.12043444
omics__bw_glc__2,-0.3878354201,0.131540097
omics__bw_pyr__1,2.4251280117,-0.350962926
omics__bw_pyr__2,2.1966202917,-0.34418755100000004
ompr__wt_nacl__1,-4.7043179001,1.828340046
ompr__wt_nacl__2,-4.6774551948,1.957742426
ompr__bw_delompr_nacl__1,-6.5765094235,1.3682953260000001
ompr__bw_delompr_nacl__2,-6.2211845319,1.419179516
minspan__wt_ade__1,-0.1236279646,0.393576953
minspan__wt_glc__2,-4.2709998667,0.444636982
minspan__wt_glc__3,-3.3040489606,0.371492769
minspan__wt_glc__4,-3.3613321535000003,0.331090588
minspan__wt_glc_anaero__1,-22.3798472066,0.7573820960000001
minspan__wt_glc_anaero__2,-21.1538425371,0.696397778
minspan__wt_trp__1,-16.72427513,0.37565932
minspan__bw_delcra_glc__2,-19.8883429683,0.476845821
minspan__bw_delcra_trp__1,-18.6145297244,0.5289642950000001
minspan__bw_delmntr__1,-16.0749707731,0.487748006
minspan__bw_delnac_ade__1,1.9420207265,0.105543914
minspan__bw_delnac_glc__1,0.1889987829,0.32585684400000003
cra_crp__wt_ac__1,4.8741229924,0.075213946
cra_crp__wt_ac__2,4.7141667712,0.040042087000000004
cra_crp__wt_fru__1,1.2170622242,-0.27503787900000004
cra_crp__wt_fru__2,1.2563653853,-0.23072129300000002
cra_crp__delcra_ac__1,4.307924002,0.252433879
cra_crp__delcra_ac__2,4.0683029457,0.273945205
cra_crp__delcra_fru__1,-2.9296272482,0.519048295
cra_crp__delcra_fru__2,-3.1309483861,0.512524654
cra_crp__delcra_glc__1,-2.0376883968,0.126573136
cra_crp__delcra_glc__2,-1.9498676207,0.126137254
rpoB__wt_031__1,1.5658704849,0.396646588
rpoB__wt_044__1,-0.6035674318,0.45351927500000005
rpoB__wt_lb__1,3.7810639395,1.5404025159999999
rpoB__wt_lb__2,4.0257787076,1.449866066
rpoB__rpoBE546V_031__1,0.2366477055,0.685514203
rpoB__rpoBE546V_044__1,-0.5218788857000001,0.539784889
rpoB__rpoBE546V_lb__1,-0.5780247859000001,1.181176256
rpoB__rpoBE546V_lb__2,-0.4039109406,1.097910146
rpoB__rpoBE546V_glc__1,-1.1603766255,-0.042422106
rpoB__rpoBE672K_glc__1,-1.3918382894,-0.529459554
rpoB__rpoBE672K_glc__2,-1.0706387783,-0.47372824700000005
rpoB__rpoBE672K_lb__1,-2.8029211293,0.035597011000000005
rpoB__rpoBE672K_lb__2,-1.8655875356,0.07509867
crp__wt_fru__1,0.22466337050000001,-0.19600093400000002
crp__wt_glyc__1,1.3356602729,-0.08909652200000001
crp__wt_glyc__2,0.2376604145,-0.190341532
crp__delar1_glyc__1,-17.5546075652,0.584096822
crp__delar1_glyc__2,-22.1399164871,0.7408784060000001
crp__delar1ar2_glyc__1,-0.27942857060000004,0.636325653
crp__delar1ar2_glyc__2,-0.278380589,0.7106710190000001
crp__delar1ar2_glyc__3,-1.0695083535,0.7162020570000001
crp__delar2_glyc__1,-21.8603688847,0.18458875400000002
crp__delar2_glyc__2,-22.3582134267,0.17830120100000002
crp__delar2_glyc__3,-23.0443619175,0.25819627
crp__delcrp_fru__1,-2.5465348691000003,1.391143806
crp__delcrp_fru__2,-2.7777475663,1.365476696
crp__delcrp_fru__3,-2.6950754373,1.362720846
crp__delcrp_glc__1,-1.9403924343,1.358549616
crp__delcrp_glc__2,-1.3581319155,1.3477543060000001
crp__delcrp_glc__3,-0.9815912652000001,1.385312096
crp__delcrp_glyc__1,-3.5512401631,0.928719166
crp__delcrp_glyc__2,-3.5689321473,1.041311906
crp__delcrp_glyc__3,-4.1988879641,0.9504081660000001
glu__glu_ale3__1,-15.3423922429,0.9075265760000001
glu__glu_ale4__1,-8.3832062435,-0.055828563000000005
glu__glu_ale5__1,-1.705732765,0.09422176900000001
glu__glu_ale6__1,-2.205867552,-0.407977407
glu__glu_ale8__1,-16.9649886656,0.9552785760000001
glu__glu_ale9__1,-13.6072815976,0.5717934290000001
glu__glu_ale10__1,-14.71979295,0.614706375
42c__wt_42c__1,-5.4135634972,0.328591383
42c__42c_ale1__1,-15.9902035421,1.071597756
42c__42c_ale2__1,-8.6966243316,0.330761637
42c__42c_ale3__1,-7.9866010516,-0.151671187
42c__42c_ale4__1,-16.6423564446,0.032578979
42c__42c_ale5__1,-4.8430584381,0.143125367
42c__42c_ale6__1,-22.7187995355,1.327478846
42c__42c_ale8__1,-18.2418855123,0.7806890660000001
42c__42c_ale9__1,-6.0859159861,-0.22797266500000002
42c__42c_ale10__1,-19.3843298031,0.387994353
ssw__wt_ac__1,2.1276527477,1.138140236
ssw__wt_glc__1,0.5637457114000001,0.199903728
ssw__wt_glyc__1,-11.1647932423,0.945881736
ssw__wt_xyl__1,-17.9114348044,-1.157955492
ssw__glc_ale1__1,-7.7565005473,0.17438198900000002
ssw__glc_ale2__1,-19.5520906544,0.268899551
