,ygjJ
Cr_1,0.003917864179072271
Cr_2,0.012552962652149108
Cr_3,0.0235151138817232
Cr_4,0.033269919025443004
Cr_5,0.040453993426079984
Cr_6,0.04727849711131083
Fe_1,-0.01664192425093033
Fe_2,-0.03941805204972478
Fe_3,-0.049571883907191805
Fe_4,-0.06876924105170623
Fe_5,-0.07972949515260369
Fe_6,-0.0807305792373353
Cd_1,-0.0019084997674580879
Cd_2,0.0017189590631789995
Cd_3,0.005459583687374279
Cd_4,0.00701817493935102
Cd_5,0.002596826697269105
Cd_6,0.003137854237158786
Zn_1,-5.162677276613403e-06
Zn_2,-0.0014407192842444082
Zn_3,0.00119451623121822
Zn_4,0.003976842755872405
Zn_5,0.015909227748853425
Zn_6,0.028159565506670075
Cu_1,-0.0021822172682461373
Cu_2,0.003618041052893863
Cu_3,0.011990785152572243
Cu_4,0.01776132244437166
Cu_5,0.02351090630341705
Cu_6,0.03333908701942165
Pb_1,0.003397703332564355
Pb_2,0.006593083572732245
Pb_3,0.020043389910811376
Pb_4,0.030300079160391468
Pb_5,0.03692525630092428
Pb_6,0.03836429205681752
