,rfbA
Cr_1,0.0014567260542078222
Cr_2,0.003961449998341553
Cr_3,0.009270734291190946
Cr_4,0.013134207599131871
Cr_5,0.016049839447207687
Cr_6,0.019151456272691655
Fe_1,-0.0016427470435322199
Fe_2,-0.009917124680102777
Fe_3,-0.015692776388231904
Fe_4,-0.023554836785626827
Fe_5,-0.028903411900673543
Fe_6,-0.031146572342076732
Cd_1,0.005537826108499679
Cd_2,0.009769008825094077
Cd_3,0.01362868967745264
Cd_4,0.01704632878779121
Cd_5,0.015882674847198127
Cd_6,0.021493356294318155
Zn_1,-0.02214139660388428
Zn_2,-0.028827313196966225
Zn_3,-0.03653457282986081
Zn_4,-0.03427541516773523
Zn_5,-0.03294344935422632
Zn_6,-0.031019656439835487
Cu_1,-0.008913027634571769
Cu_2,-0.019443172982242782
Cu_3,-0.02368283854131073
Cu_4,-0.020055355162463973
Cu_5,-0.014109362239235663
Cu_6,-0.004587628804090801
Pb_1,0.003284212702052628
Pb_2,0.0059768331754822684
Pb_3,0.009650224173548895
Pb_4,0.011585820490715838
Pb_5,0.014172122439705113
Pb_6,0.019174078227830342
