,hybO
Cr_1,0.0006576435217683997
Cr_2,0.010797074153952351
Cr_3,0.015948985509820202
Cr_4,0.01989053374192699
Cr_5,0.026000697639940343
Cr_6,0.029330895791677695
Fe_1,-0.009766351373633169
Fe_2,-0.02567037772236756
Fe_3,-0.04341539213763952
Fe_4,-0.058878006178130736
Fe_5,-0.07126232238992744
Fe_6,-0.08076232614624416
Cd_1,0.0057076763098871395
Cd_2,0.01261316641696974
Cd_3,0.018691506026457458
Cd_4,0.023617271437090036
Cd_5,0.02696347455035096
Cd_6,0.035037071931689284
Zn_1,-0.0070856076775507575
Zn_2,-0.007547639317192961
Zn_3,0.007415405214412158
Zn_4,0.026707019027405826
Zn_5,0.04357387267253682
Zn_6,0.060400127576352665
Cu_1,-0.0006577011627111678
Cu_2,-8.494970263197928e-05
Cu_3,0.006186612665470789
Cu_4,0.008728526542750071
Cu_5,0.011197013148445943
Cu_6,0.016897868836043644
Pb_1,0.011582755170555068
Pb_2,0.021021456460207127
Pb_3,0.031634861184482416
Pb_4,0.043175124362866704
Pb_5,0.05521644436824951
Pb_6,0.07061856983226236
