,yagK
Cr_1,-0.007731748293589528
Cr_2,-0.004881116621996104
Cr_3,-0.0012163111409424705
Cr_4,0.009529594487317843
Cr_5,0.02953132456637325
Cr_6,0.04243872137960523
Fe_1,-0.034659982733702716
Fe_2,-0.06370876124281964
Fe_3,-0.0869784143874835
Fe_4,-0.10743419108527047
Fe_5,-0.1172794484581121
Fe_6,-0.11659290404719355
Cd_1,0.004693244323341345
Cd_2,0.008007808137133341
Cd_3,0.014078223439752556
Cd_4,0.02149919826795374
Cd_5,0.02606989822109872
Cd_6,0.03271739137485122
Zn_1,-0.16180941195888598
Zn_2,-0.17517724073016538
Zn_3,-0.16422192517600415
Zn_4,-0.14439879060809052
Zn_5,-0.12358997881209292
Zn_6,-0.112289155023599
Cu_1,-0.0008568000710403131
Cu_2,0.0013850428617983984
Cu_3,0.008977664423612601
Cu_4,0.010063726913510405
Cu_5,0.020083810814849883
Cu_6,0.0318880233540613
Pb_1,0.007190202100750866
Pb_2,0.01178399129231593
Pb_3,0.020711371482512796
Pb_4,0.02698958951298299
Pb_5,0.04445093041588697
Pb_6,0.06551723437079586
