,recA
Cr_1,0.010328003738664372
Cr_2,0.034051761031208584
Cr_3,0.05868160331439539
Cr_4,0.06850900598274677
Cr_5,0.08543105088226563
Cr_6,0.0902267757033694
Fe_1,-0.03743071785502865
Fe_2,-0.06787977629244966
Fe_3,-0.09127052975379582
Fe_4,-0.11995736950849199
Fe_5,-0.13774903774743485
Fe_6,-0.1551500582407192
Cd_1,0.006502488454540189
Cd_2,0.005456794611804701
Cd_3,0.008127956532072322
Cd_4,0.013669977369492364
Cd_5,0.011304717924822443
Cd_6,0.005869256420295822
Zn_1,-0.010420834899777829
Zn_2,-0.012911450816460269
Zn_3,-0.0021368265708232685
Zn_4,0.014144749305710469
Zn_5,0.024795264523885256
Zn_6,0.03628414448520048
Cu_1,0.008910144572996019
Cu_2,0.01982831718345409
Cu_3,0.02867137031888156
Cu_4,0.041506305855061536
Cu_5,0.05243013919651463
Cu_6,0.060795382960167135
Pb_1,0.011692758406533556
Pb_2,0.02565230589116249
Pb_3,0.035936048024867086
Pb_4,0.0508758882805312
Pb_5,0.06131097668367689
Pb_6,0.07239340832896579
