,pinR
Cr_1,0.0010988618844823461
Cr_2,0.006846314232463701
Cr_3,0.01556702261230507
Cr_4,0.0230170736287658
Cr_5,0.03513927828773958
Cr_6,0.033653819996549615
Fe_1,-0.01126175720491083
Fe_2,-0.031283840398470056
Fe_3,-0.053798820303371006
Fe_4,-0.0755776279312713
Fe_5,-0.08466656158379833
Fe_6,-0.08796891894710693
Cd_1,0.008456951170477737
Cd_2,0.011299345966731406
Cd_3,0.012470147808958727
Cd_4,0.01711585842874341
Cd_5,0.02251428421587317
Cd_6,0.028478215402329945
Zn_1,-0.01446759853972276
Zn_2,-0.017853851080915698
Zn_3,-0.011920618335119771
Zn_4,0.0005074310305481648
Zn_5,-0.005718501742650719
Zn_6,-0.008535761179358902
Cu_1,0.005291612058007408
Cu_2,0.008208432778852486
Cu_3,0.01423179521608134
Cu_4,0.010032886521963932
Cu_5,0.008937399553895381
Cu_6,0.011072882099235206
Pb_1,0.00810996854556206
Pb_2,0.010059795265269423
Pb_3,0.011787932804860679
Pb_4,0.02029079568355087
Pb_5,0.027529606508988027
Pb_6,0.029831481045052486
