,yebF
Cr_1,0.004963613322883257
Cr_2,0.011421881680490905
Cr_3,0.021802037519248186
Cr_4,0.0279442633315741
Cr_5,0.02948568537212289
Cr_6,0.028957238495765262
Fe_1,-0.006838294240241111
Fe_2,-0.02183975440090347
Fe_3,-0.024753361746472385
Fe_4,-0.033053813272042
Fe_5,-0.03386500617258821
Fe_6,-0.03680701544074407
Cd_1,-0.0010031238070615843
Cd_2,0.004603619486206531
Cd_3,0.008721818776363533
Cd_4,0.01764689808590925
Cd_5,0.024215526001758855
Cd_6,0.037197219451522184
Zn_1,-0.008764616124309416
Zn_2,-0.003199064384498901
Zn_3,0.012274275389037395
Zn_4,0.0236231226520236
Zn_5,0.02273159017738289
Zn_6,0.011535485630942545
Cu_1,0.005434268395745553
Cu_2,0.009008700908100908
Cu_3,0.014678338582270932
Cu_4,0.01965694480022747
Cu_5,0.02424513870118631
Cu_6,0.026028017681947933
Pb_1,-0.006114900171120294
Pb_2,-0.012834998345631442
Pb_3,-0.014171356858010553
Pb_4,-0.010543808535595462
Pb_5,0.00236086406561278
Pb_6,0.021813960196573282
