,rrfG
Cr_1,-0.0007697625973237647
Cr_2,0.0017326199084536865
Cr_3,0.004252021348068269
Cr_4,0.010021182044562862
Cr_5,0.012336884617141709
Cr_6,0.009964972533989841
Fe_1,-0.002605088960367841
Fe_2,-0.013970774340157841
Fe_3,-0.023028831103752544
Fe_4,-0.02727283060329152
Fe_5,-0.02651689033619617
Fe_6,-0.02595870127489357
Cd_1,-0.003954971316572852
Cd_2,-0.0026556563005547466
Cd_3,-0.0022148707398165213
Cd_4,-0.001196023420503856
Cd_5,-0.008166487969625784
Cd_6,-0.007673772172230739
Zn_1,-0.007083676864289176
Zn_2,-0.009313625776006978
Zn_3,-0.005564953113263275
Zn_4,0.005021887014103879
Zn_5,0.017012485252272114
Zn_6,0.0260555941935884
Cu_1,-0.0015597745796300186
Cu_2,-0.0066168689559645754
Cu_3,-0.0023424919118815914
Cu_4,0.00029387476618845064
Cu_5,0.006295734746507586
Cu_6,0.013689965512271429
Pb_1,-0.0015008126432486466
Pb_2,0.0009025914799874114
Pb_3,0.004728565899196782
Pb_4,0.004671131779377513
Pb_5,0.005405930774480144
Pb_6,0.01363680662739395
