,A,Fnr,ihfB
R2,,0.02276014925389591,0.008383436077985529
xmin,,-7.8525940196,-3.9178110457
xmid,,-0.7304765803384984,0.7264665028155978
xmax,,4.4171410107,3.3245249795
ystart,,0.8995220182749186,0.40301559401491316
yend,,-4.081302133099429,-3.7417192851833274
SRX1125282,-0.2492150116,-0.0825740115,-0.1131958483
SRX1125283,-0.0722809438,0.16485310350000001,0.0772468121
SRX1125284,0.48806087950000004,0.7752711503,0.0671979825
SRX1125285,0.8769586021,0.9066270852,-0.031233225400000002
SRX1125286,0.8533716068,0.95171602,0.0201842575
SRX1125287,1.1651521505,1.0192587317,-0.1696861744
SRX1125288,0.6575395367,0.1234264677,0.030994294500000002
SRX1125289,0.9965643112,0.4334180231,0.0539088152
SRX1125290,1.6722610934,0.7979562918,0.1097352022
SRX1125291,2.0381669338,0.8964971719,0.2340397233
SRX1125292,1.5402779199,0.9047534472000001,0.2579735379
SRX1125293,0.4306513093,0.9185125141,0.5504911606
SRX1125294,-0.4083245251,-0.040852456200000005,0.0822015539
SRX1125295,-0.6363018370000001,0.2208704434,0.4189166854
SRX1125296,0.3602897229,0.7920547098,0.2529822276
SRX1125297,0.619476973,0.8818752216,0.39341672120000004
SRX1125298,0.6494096685,0.9825066807,0.2673414086
SRX1125299,0.6329146240000001,0.9444446514,0.42329341260000003
SRX5694250,3.5536989339,0.0403637158,2.297485246
SRX5694251,-0.9907433331000001,0.5459244040000001,-1.5657193052
SRX5694252,2.6855466406,-0.6791990309,1.171465281
SRX5694253,2.1063672435,0.0078028844000000005,0.294111116
SRX5694254,3.3078178084,-1.3129271236,0.9331627303000001
SRX5694255,-3.0609543202,0.20689053170000002,-1.5948301920999999
SRX5694256,-1.7538286934,-0.045048951000000004,-0.6969566792
SRX5694257,0.6724518547,0.4656249649,-0.24371025970000001
SRX5694258,3.313362819,-0.3784852643,0.3294536628
SRX5694259,-1.7035078384,0.3019332691,-1.0253066066
SRX5694260,0.0109152645,0.0320312785,-1.1929652783
SRX5694261,1.7353135784,-2.6112045671,0.8805616572
SRX5694262,-0.5305510247,0.2482154852,1.9132335694
SRX5694263,-0.8573218993,0.0230880885,-1.1279696429000001
SRX5694264,1.3317927220999999,0.3075812793,-0.9605612867000001
SRX5694265,-0.9660517724000001,-0.7038356709,-0.7856317823000001
SRX5694267,1.7065980518,-0.2244639849,0.10447339950000001
SRX5694268,0.3470959261,0.32801548280000004,-1.1566112913
SRX5694269,0.020687907000000002,-0.0363903054,-0.5151260577
SRX5694271,1.3019713635999999,0.1539794799,-0.3442757495
SRX5694273,-1.6552826027,-0.315089026,-2.3813583609
SRX5694274,0.5130105458,-0.19593564700000002,-1.0600417401
SRX5694275,-0.2987951022,0.1826918599,-2.7828060503
