,-0.0607120454786055,-0.03035602273930275,0.0,0.030356022739302747,0.0607120454786055,0.09106806821790825,0.12142409095721099,0.15178011369651376,0.1821361364358165,0.21249215917511924,0.242848181914422,0.2732042046537248,0.3035602273930275,0.3339162501323303,0.36427227287163305,0.39462829561093576,0.42498431835023853,0.4553403410895413,0.485696363828844,0.5160523865681468
thresh,-0.07589005684825688,0.07589005684825688,8,,,,,,,,,,,,,,,,,
unreg,0,215,3304,169,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gcvB,0,8,39,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF,0,6,119,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr,0,11,212,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gcvB and IHF,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gcvB and Fnr,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF and Fnr,0,3,69,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gcvB, IHF, and Fnr",0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
gcvB_genes,[],['opgB' 'yedN' 'ygeG' 'argT' 'wbbJ' 'ygeF' 'gatZ' 'lon'],"['casD' 'glf' 'rfbA' 'hdeB' 'sfmH' 'ibpA' 'phoQ' 'lrp' 'adeQ' 'cysD'
 'fimZ' 'srlD' 'slp' 'yhaC' 'phoP' 'rfbX' 'ypjC' 'yhiL' 'wbbH' 'yjbM'
 'asnA' 'htpG' 'dnaK' 'clpB' 'panD' 'ybfB' 'groS' 'ygeN' 'gltI' 'yibG'
 'srlB' 'livK' 'ymgG' 'yebB' 'asnB' 'ilvB' 'yafU' 'inaA' 'oppA']",['livJ' 'ygeI' 'serA' 'oppF' 'nlpA' 'oppD' 'yifK' 'oppB' 'oppC' 'ilvC'],['cycA'],['sstT'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
IHF_genes,[],['hycA' 'ilvM' 'ilvG' 'gcd' 'yiaM' 'glcB'],"['ompR' 'rseA' 'actP' 'hipA' 'pspB' 'pspC' 'paaA' 'ompC' 'patA' 'pspD'
 'ihfA' 'glcA' 'rseB' 'htrE' 'proV' 'paaC' 'atoB' 'flhC' 'pspE' 'glnP'
 'pspA' 'rseC' 'atoE' 'yjbE' 'fimC' 'carB' 'glcG' 'fimI' 'folA' 'paaD'
 'fimG' 'rpoH' 'proW' 'atoD' 'hpt' 'envZ' 'rpoE' 'ulaE' 'dcuD' 'rtcA'
 'gltA' 'fis' 'yiaK' 'rtcB' 'proX' 'yjbH' 'glcE' 'plaR' 'hipB' 'fimF'
 'ulaD' 'fliA' 'glnQ' 'yiaN' 'hycH' 'dps' 'fimA' 'atoA' 'carA' 'yadV'
 'adiA' 'rseD' 'paaE' 'flhD' 'glcD' 'acs' 'hycD' 'hypA' 'osmE' 'lyxK'
 'yiaL' 'sgbE' 'glcF' 'sgbH' 'paaZ' 'hycC' 'paaB' 'hycE' 'uspA' 'yiaO'
 'hemF' 'ibpB' 'fimH' 'ulaG' 'glnH' 'aceK' 'aceB' 'ulaB' 'sufS' 'hycI'
 'sgbU' 'sufD' 'aceA' 'hycB' 'yjbF' 'paaI' 'dusB' 'sufE' 'paaH' 'paaK'
 'sufB' 'fimB' 'paaF' 'fimD' 'paaG' 'amiA' 'ihfB' 'sufA' 'pspG' 'cysI'
 'yjcH' 'tyrP' 'ulaA' 'cysJ' 'osmY' 'mtr' 'cysH' 'fliZ' 'ulaC']","['uspB' 'sufC' 'hycF' 'sodB' 'ulaF' 'paaJ' 'hycG' 'yjbG' 'ilvE' 'sra'
 'ompF' 'ilvD' 'ilvA']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
