,serX
Cr_1,0.0071126822339754765
Cr_2,0.026420423555505758
Cr_3,0.044768506176399374
Cr_4,0.057578454250069876
Cr_5,0.0599617784117347
Cr_6,0.06529941731984157
Fe_1,-0.01964711681241673
Fe_2,-0.0004548505315890536
Fe_3,0.06250377111198491
Fe_4,0.11262169126411105
Fe_5,0.14154512432443328
Fe_6,0.15426325981180156
Cd_1,-0.0039854470985285625
Cd_2,0.0007772201650642414
Cd_3,0.007145029809476934
Cd_4,0.015029938465197028
Cd_5,0.02230458071097096
Cd_6,0.031838575444867144
Zn_1,-0.022623528371682945
Zn_2,-0.0414216876622825
Zn_3,-0.04089631713056592
Zn_4,-0.03385053555451964
Zn_5,-0.03977973255877716
Zn_6,-0.07008438589032717
Cu_1,0.010618502564163804
Cu_2,0.01869415673961941
Cu_3,0.02175292344355626
Cu_4,0.02998420508696375
Cu_5,0.037422576798579216
Cu_6,0.04209841985161456
Pb_1,0.009345898916102569
Pb_2,0.013062595940993958
Pb_3,0.023791331734802242
Pb_4,0.03336534150529522
Pb_5,0.03508036288663853
Pb_6,0.045943413620071684
