,map
Cr_1,-0.0027763574052933463
Cr_2,-0.009226163042331773
Cr_3,-0.006752378678480101
Cr_4,0.001665562561223994
Cr_5,0.005756787799477736
Cr_6,-0.004001064058187182
Fe_1,-0.0049228024598823705
Fe_2,0.006755617557624064
Fe_3,0.011350800787822891
Fe_4,0.00930833093759396
Fe_5,0.00767174703057952
Fe_6,0.003601063782259969
Cd_1,0.003042271095079033
Cd_2,0.007290123943900596
Cd_3,0.015456923074873832
Cd_4,0.021355176264588625
Cd_5,0.02095104458570528
Cd_6,0.030494122039544345
Zn_1,0.06322583651534547
Zn_2,0.1914615856673393
Zn_3,0.3401624471413123
Zn_4,0.4466682430101407
Zn_5,0.5052125056157455
Zn_6,0.5243249534085083
Cu_1,-0.0007799914966334701
Cu_2,0.002764318833505454
Cu_3,0.010241556574569377
Cu_4,0.018529688270178545
Cu_5,0.03336010869944527
Cu_6,0.04385883627572632
Pb_1,-0.0011586615152022748
Pb_2,0.0038331540244751494
Pb_3,0.010496126108129616
Pb_4,0.020207100123594533
Pb_5,0.02097038733726352
Pb_6,0.02385019432361621
