,yfhR
Cr_1,-0.001464071886843017
Cr_2,-0.0007644262840658578
Cr_3,0.0039702472553728215
Cr_4,0.007469038883784345
Cr_5,0.01054748995892257
Cr_6,0.011281890764769363
Fe_1,-0.00041830676221862233
Fe_2,-0.0072081986154261795
Fe_3,-0.00817914481390449
Fe_4,-0.02220050653069119
Fe_5,-0.034645288966413765
Fe_6,-0.04304014040859935
Cd_1,0.0051753063569987354
Cd_2,0.011888373276649338
Cd_3,0.018717228278721163
Cd_4,0.0265747016861603
Cd_5,0.02729023243006884
Cd_6,0.031598708389524575
Zn_1,-0.0029632201835978478
Zn_2,-0.013192764411611477
Zn_3,-0.012310997988006427
Zn_4,-0.017992962599380116
Zn_5,-0.025071267421307917
Zn_6,-0.03317441233985919
Cu_1,0.0070490925482442545
Cu_2,0.014854700692827063
Cu_3,0.017199548097624015
Cu_4,0.02177629122333049
Cu_5,0.027303009340981496
Cu_6,0.028811031196170064
Pb_1,0.0056752540525923535
Pb_2,0.013776921562691865
Pb_3,0.024882434691099117
Pb_4,0.030034016879268106
Pb_5,0.03957838379719325
Pb_6,0.04806765386491379
