,yjiX
Cr_1,0.003489766041465347
Cr_2,0.006592075075153398
Cr_3,0.005420903102443066
Cr_4,-8.441862388906174e-05
Cr_5,-0.007704716725210809
Cr_6,-0.017585783938343168
Fe_1,-0.01287984960375236
Fe_2,-0.05011321538700833
Fe_3,-0.09897729049806164
Fe_4,-0.1523502240297625
Fe_5,-0.19776073559349605
Fe_6,-0.2318740671184741
Cd_1,0.0006860834947911639
Cd_2,0.0018355264897635067
Cd_3,0.005088742870341725
Cd_4,0.009956514651536349
Cd_5,0.01378407083742013
Cd_6,0.02521356454549235
Zn_1,0.0006728495831512264
Zn_2,-0.004279608098499365
Zn_3,-0.00032416805232955893
Zn_4,0.011072557187466057
Zn_5,0.026860986786351744
Zn_6,0.04510833181381164
Cu_1,0.00022952277030487608
Cu_2,0.0043886708026026145
Cu_3,0.012096971263273986
Cu_4,0.015226779813237752
Cu_5,0.01920046839210996
Cu_6,0.0243288392035488
Pb_1,-0.00034917565894076774
Pb_2,-0.0015841948040324324
Pb_3,0.002094496537707253
Pb_4,0.007587909735555852
Pb_5,0.014765669734681968
Pb_6,0.026934294184174888
