,ybhL
Cr_1,-0.0018019908295283183
Cr_2,-0.0009277814144883828
Cr_3,0.0006533208367679535
Cr_4,0.0007132677771028572
Cr_5,-0.0012315742545026484
Cr_6,-0.005679352068887961
Fe_1,-0.016993471664262166
Fe_2,-0.04124060671049572
Fe_3,-0.07147700813654613
Fe_4,-0.105487994170298
Fe_5,-0.12573778400691482
Fe_6,-0.1457287425455835
Cd_1,-0.001792552162452367
Cd_2,-0.001797945026544181
Cd_3,-0.0016246410965136686
Cd_4,-8.639157984384196e-05
Cd_5,-0.003170040084690295
Cd_6,0.00030648574451658543
Zn_1,-0.003499345318511852
Zn_2,0.008897245560830403
Zn_3,0.011499921259638857
Zn_4,0.019228956213117984
Zn_5,0.025041030224435525
Zn_6,0.0730508302799215
Cu_1,0.0014688960246311855
Cu_2,0.00447824885222495
Cu_3,0.006177519271325582
Cu_4,0.007339592447156506
Cu_5,0.01036201021114584
Cu_6,0.013091923664527869
Pb_1,-0.004196211460453118
Pb_2,-0.002054001801411216
Pb_3,-0.00368045292656899
Pb_4,-0.003950472278602316
Pb_5,-0.005134372668148909
Pb_6,-0.004029261392937883
