,galU
Cr_1,-0.0007886957494174869
Cr_2,-0.002255329032400656
Cr_3,-0.0037031919300166602
Cr_4,-0.004302362346645409
Cr_5,-0.007188835834196497
Cr_6,-0.011440347360500976
Fe_1,-0.002420250763513112
Fe_2,-0.016806973629360438
Fe_3,-0.04001567146067626
Fe_4,-0.07433006592484731
Fe_5,-0.1034556668055551
Fe_6,-0.12086071919022605
Cd_1,0.0011971116818174329
Cd_2,0.0032170349229327
Cd_3,0.005548556805314339
Cd_4,0.007289814313197337
Cd_5,0.004471517830475353
Cd_6,0.00803911790696036
Zn_1,-0.0016267483138962915
Zn_2,-0.007383874445714166
Zn_3,-0.017193480407242973
Zn_4,-0.021258009571864446
Zn_5,-0.020864776233433132
Zn_6,-0.0158397924950369
Cu_1,0.003106657788484244
Cu_2,0.0067157581207135005
Cu_3,0.008878325453851706
Cu_4,0.009226832227509729
Cu_5,0.004308210332000117
Cu_6,-0.0014532849042790848
Pb_1,0.00787695211674545
Pb_2,0.0119802291444289
Pb_3,0.019055098673979545
Pb_4,0.02508879093378081
Pb_5,0.03141184112328664
Pb_6,0.03880002000292088
