,A,Lrp
R2,,0.4094051195951067
xmin,,-3.331796678
xmid,,
xmax,,0.95693476
ystart,,-21.58101320420938
yend,,3.470902861798339
control__wt_glc__1,0.035968424900000004,-0.01164171
control__wt_glc__2,-0.035968424900000004,0.01164171
fur__wt_dpd__1,-8.0274575166,-0.6940244830000001
fur__wt_dpd__2,-8.2549118918,-1.072648193
fur__wt_fe__1,0.5787248226,-0.29271737000000003
fur__wt_fe__2,0.30242303730000003,-0.3638154
fur__delfur_dpd__1,-11.0785857621,-0.37554615
fur__delfur_dpd__2,-10.5985452665,-0.42726524
fur__delfur_fe2__1,-0.41079096530000003,-0.40719294
fur__delfur_fe2__2,-0.43845100060000003,-0.38888722000000003
acid__wt_ph5__1,-1.167207052,-0.09708397
acid__wt_ph5__2,-0.9049679537,-0.09599975000000001
acid__delgadx_ph5__2,-0.805919742,-0.25259054000000003
acid__delgadw_ph5__1,-0.583637064,-0.20636768
acid__delgadw_ph5__2,-1.0954936815,-0.13596409
acid__delgade_ph5__1,-0.8226181370000001,-0.03282263
acid__delgade_ph5__2,-0.5812781103,-0.08436744
oxidative__wt_pq__1,-0.9805538874,-0.31749068
oxidative__wt_pq__2,-1.7050719472,-0.26522032
oxidative__deloxyr_pq__1,-0.1077103546,-0.09725503
oxidative__deloxyr_pq__2,-0.6053428384,-0.14415623
oxidative__delsoxr_pq__1,-2.6224426803,-0.480100356
oxidative__delsoxr_pq__2,-2.7258051944,-0.43780535
oxidative__delsoxs_pq__1,-3.4302659887,-0.36656416
oxidative__delsoxs_pq__2,-3.1955550997,-0.27357684
nac_ntrc__wt_csn__1,-4.1453723942,0.2274396
nac_ntrc__wt_csn__2,-4.4405496759,0.30784091
nac_ntrc__wt_cytd__1,-0.2923827639,0.12546447
nac_ntrc__wt_cytd__2,-0.618724661,0.1488817
nac_ntrc__wt_gln__1,-1.6556265133,0.06384899000000001
nac_ntrc__wt_gln__2,-1.2418761103,0.03403801
nac_ntrc__bw_delnac_csn__1,-3.1020366755,-0.26887009
nac_ntrc__bw_delnac_csn__2,-2.4606475002,-0.49716302100000004
nac_ntrc__bw_delnac_cytd__1,0.5570140191,0.3625209
nac_ntrc__bw_delnac_cytd__2,0.7050399784,0.31627001
nac_ntrc__bw_delnac_gln__1,-0.19737343370000002,0.20808448000000002
nac_ntrc__bw_delnac_gln__2,-0.5957752059,0.1513594
nac_ntrc__bw_delnac_nh4__1,-1.5991449638000002,0.23073662
nac_ntrc__bw_delnac_nh4__2,-1.1729426586,0.13001687
misc__wt_no_te__1,0.21112661430000002,-0.30092759999999996
misc__wt_no_te__2,0.9797478292,-0.19214711
misc__bw_delcbl__1,-0.5760418192,-0.30941163
misc__bw_delcbl__2,-0.7710626652,-0.26496448
misc__bw_delfabr__1,-0.4314992704,-0.26036956
misc__bw_delfabr__2,-0.2300916465,-0.27374641
misc__bw_delfadr__1,-0.46416374590000004,-0.35011749999999997
misc__bw_delfadr__2,-0.3006856463,-0.23017134
misc__nitr_031__1,-2.5836630209,-0.18571492
omics__wt_glu__1,-0.6182291528,-0.619665303
omics__wt_glu__2,-0.17562284120000002,-0.41678455000000003
omics__wt_gly__1,0.0475476751,-0.46201224
omics__wt_gly__2,0.0259652536,-0.45940358000000003
omics__wt_thr__1,-5.5404779063,-0.823787359
omics__wt_thr__2,-5.016152528,-0.6692287650000001
omics__bw_ac__1,-2.5045230039,-0.31974963
omics__bw_ac__2,-2.5309087805,-0.27927106
omics__bw_fum__1,-2.4259900704,-0.492263198
omics__bw_fum__2,-1.8681507933,-0.40191275
omics__bw_glc__1,-1.0249276347,0.06089709
omics__bw_glc__2,-0.6998265306,0.04774304
omics__bw_pyr__1,-3.0557467195,-0.24984238
omics__bw_pyr__2,-3.0136269701,-0.18606416
ompr__wt_nacl__1,-6.707272075,-1.768785747
ompr__wt_nacl__2,-6.5009949125,-1.60188357
ompr__bw_delompr_nacl__1,-10.164612315,-2.108711887
ompr__bw_delompr_nacl__2,-10.7847050384,-2.047493032
minspan__wt_ade__1,-9.7163972259,0.11695164
minspan__wt_glc__2,-0.6845455147,-0.23467701
minspan__wt_glc__3,-1.0756334804,-0.30810333
minspan__wt_glc__4,-0.10921650520000001,-0.32713585
minspan__wt_glc_anaero__1,-7.4884656168,-0.42433926
minspan__wt_glc_anaero__2,-5.9848998413,-0.36819001
minspan__wt_trp__1,-5.562931775,0.16952413
minspan__bw_delcra_glc__2,-4.3783489936,0.02859596
minspan__bw_delcra_trp__1,-7.8264370943,0.48235206
minspan__bw_delmntr__1,-3.2853044632,-0.489868083
minspan__bw_delnac_ade__1,-13.994140581,-0.25947829
minspan__bw_delnac_glc__1,-2.3536187775,-0.16589605000000002
cra_crp__wt_ac__1,-2.9257004838,-0.7937532780000001
cra_crp__wt_ac__2,-3.3708375126,-1.007436182
cra_crp__wt_fru__1,-0.3777870708,-0.7812257650000001
cra_crp__wt_fru__2,-0.8397352154000001,-0.567632298
cra_crp__delcra_ac__1,-2.6657869818,-0.912469379
cra_crp__delcra_ac__2,-2.5413676467,-0.928845298
cra_crp__delcra_fru__1,0.09036036,-0.14619799
cra_crp__delcra_fru__2,-0.036235565500000004,-0.16313055
cra_crp__delcra_glc__1,0.6313831228,-0.17590444
cra_crp__delcra_glc__2,0.41107096200000004,-0.07839542000000001
rpoB__wt_031__1,-3.8398820182,-0.15020317
rpoB__wt_044__1,-2.5719562277,-0.14559594
rpoB__wt_lb__1,-24.8286969926,-1.593807688
rpoB__wt_lb__2,-24.3663179746,-1.529605959
rpoB__rpoBE546V_031__1,-2.8436332031,0.20338541000000002
rpoB__rpoBE546V_044__1,-3.1627685515,0.22428217
rpoB__rpoBE546V_lb__1,-25.0678707386,-1.654974314
rpoB__rpoBE546V_lb__2,-25.275511860800002,-1.659310064
rpoB__rpoBE546V_glc__1,0.24614990790000002,-0.29452587
rpoB__rpoBE672K_glc__1,-0.4181129415,-0.23889059999999998
rpoB__rpoBE672K_glc__2,-0.1825593084,-0.24658735
rpoB__rpoBE672K_lb__1,-21.0585368577,-2.250047412
rpoB__rpoBE672K_lb__2,-21.3413938046,-2.232371337
crp__wt_fru__1,0.6694660921000001,-0.30661565
crp__wt_glyc__1,0.0916778787,-0.29483978
crp__wt_glyc__2,0.2609693898,-0.26687029
crp__delar1_glyc__1,1.3152483515,0.12869008
crp__delar1_glyc__2,1.0386884277,0.08123358
crp__delar1ar2_glyc__1,2.1283575697,-0.03978781
crp__delar1ar2_glyc__2,2.0178414975,-0.09250152
crp__delar1ar2_glyc__3,1.9830131768,-0.02866873
crp__delar2_glyc__1,-0.8135471374000001,0.23935111
crp__delar2_glyc__2,-0.5862964796,0.08016228
crp__delar2_glyc__3,-0.8184187456,0.0555708
crp__delcrp_fru__1,-2.1221913298,-0.40847084
crp__delcrp_fru__2,-1.8571481626000002,-0.43283973000000003
crp__delcrp_fru__3,-2.6476179299,-0.42214575
crp__delcrp_glc__1,-0.7736766831,-0.37599616
crp__delcrp_glc__2,-1.1532182589,-0.33779719
crp__delcrp_glc__3,-1.0960648868,-0.31697267
crp__delcrp_glyc__1,0.5297613305000001,-0.24442594
crp__delcrp_glyc__2,0.25689979560000004,-0.40478448
