,-0.0358041388464725,6.938893903907228e-18,0.035804138846472516,0.07160827769294502,0.10741241653941754,0.14321655538589007,0.17902069423236255,0.2148248330788351,0.2506289719253076,0.2864331107717801,0.3222372496182526,0.3580413884647251,0.3938455273111976,0.42964966615767014,0.4654538050041427,0.5012579438506152,0.5370620826970877,0.5728662215435602,0.6086703603900326,0.6444744992365052
thresh,-0.05370620826970876,0.05370620826970876,2,,,,,,,,,,,,,,,,,
unreg,68,4194,48,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zur,0,0,0,0,2,2,0,3,1,2,1,0,1,0,0,0,0,0,0,0
unreg_genes,[],[],[],['ydzQ' 'BSU_03385'],[],[],[],[],['BSU_26827'],[],[],[],[],[],[],[],[],[],[],[]
Zur_genes,[],[],[],[],['znuB' 'znuC'],['rpmGCn' 'rpmGCc'],[],['znuA' 'rpsNB' 'rpmEB'],['zinT'],['folEB' 'yciB'],['zinU'],[],['yczL'],[],[],[],[],[],[],[]
