,hemB
Cr_1,0.0029646824218425845
Cr_2,0.013388957584260942
Cr_3,0.02491223533975942
Cr_4,0.036535174335030084
Cr_5,0.046197391340791816
Cr_6,0.03651891662964305
Fe_1,-0.011132558744206022
Fe_2,-0.03102174144750798
Fe_3,-0.03665867540679913
Fe_4,-0.06157674356963564
Fe_5,-0.06050425125120348
Fe_6,-0.07006088045848692
Cd_1,-0.00170371096805056
Cd_2,0.0011695050158122573
Cd_3,0.009218760758821115
Cd_4,0.014953493344646412
Cd_5,0.017201794834260372
Cd_6,0.02861326510550397
Zn_1,0.0011223005696063349
Zn_2,0.013734803177320306
Zn_3,0.02751861127081817
Zn_4,0.028904246069629387
Zn_5,0.02031744958536002
Zn_6,0.03188327705956978
Cu_1,0.000549459204817891
Cu_2,0.009589936726339864
Cu_3,0.009953475003211913
Cu_4,0.01936918504214439
Cu_5,0.028196403582275164
Cu_6,0.030752771784931087
Pb_1,-0.010624489044627842
Pb_2,-0.01751718865605311
Pb_3,-0.023025203544290388
Pb_4,0.000650130156852069
Pb_5,0.013300680954394071
Pb_6,0.03126232225719005
