,yfjG
Cr_1,0.006717158667568033
Cr_2,0.014812635273017613
Cr_3,0.02277184054609314
Cr_4,0.028987207443657962
Cr_5,0.032747943301053864
Cr_6,0.03659367076823637
Fe_1,-0.0019975036921226932
Fe_2,0.011574495162919328
Fe_3,0.03685040560122956
Fe_4,0.05331976975715109
Fe_5,0.06693490218626166
Fe_6,0.07246900468354348
Cd_1,0.004823803612805635
Cd_2,0.011881959448961784
Cd_3,0.020792556246605608
Cd_4,0.02820508838606468
Cd_5,0.029662407352317014
Cd_6,0.03894124560565927
Zn_1,-0.002027648930347117
Zn_2,0.009294153834032554
Zn_3,0.030469364272702342
Zn_4,0.04822942637903132
Zn_5,0.06005299743101467
Zn_6,0.06738675705450431
Cu_1,0.0006866506972413878
Cu_2,0.003853694013447164
Cu_3,0.013332338355482134
Cu_4,0.023309305866269118
Cu_5,0.028887076984520255
Cu_6,0.0348065374452747
Pb_1,0.0033835607614256845
Pb_2,0.006644215100649253
Pb_3,0.009922775283221136
Pb_4,0.019558106384992408
Pb_5,0.02689993567716438
Pb_6,0.035429256769777616
