gene_id,USA300HOU_RS05510
name,<i> Not Available </i>
operon,<i> Not Available </i>
product,membrane protein
cog,<i> Not Available </i>
regulator(s),
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN003329000"">AureoWiki</a>"
