,A,SigA,PhoP
R2,,0.02495781493608451,0.0
xmin,,10.6334,9.0352
xmid,,,
xmax,,14.8203,15.1638
ystart,,-1.9681898801474027,0.8319747526350945
yend,,2.1510297016944744,0.8319747526350945
LBexp_1,1.7796134772,13.9229,11.9383
LBexp_2,3.2578994051,13.6986,12.0364
LBexp_3,3.4119807129,13.5366,11.5358
LBtran_1,1.5838680106,13.5861,14.4076
LBtran_2,-0.57640142,13.6947,13.3857
LBtran_3,-1.1641529821,13.6814,13.0809
LBstat_1,2.2814313997,13.746,13.4627
LBstat_2,2.4934629944,13.8294,12.8477
LBstat_3,2.2239551547,13.7637,13.0773
LBGexp_1,3.421553239,14.0966,11.2985
LBGexp_2,1.0084743143,13.9632,11.6045
LBGexp_3,0.5013899655,14.2782,11.1862
LBGtran_2,0.9486956954,13.6213,11.8554
LBGtran_3,0.0851888918,13.9309,12.5182
LBGstat_1,15.1042040317,13.8958,10.9838
LBGstat_2,7.5113823815,13.2182,10.4194
LBGstat_3,7.4410010636,12.9318,11.4899
S0_1,-6.2707771146999995,13.7975,11.9092
S0_2,-6.6687745935,13.5336,11.8755
S0_3,-7.573149204,13.7362,12.4533
S1_1,-2.4045055666,14.1328,13.231
S1_2,-2.2761845619,14.2092,13.3387
S1_3,-3.0427822731,14.064,13.6179
S2_1,-0.2720653651,12.1327,12.1553
S2_2,-1.5326881145,12.2083,12.2381
S2_3,-2.3965896255,11.9224,12.1413
S3_1,4.1889184771,13.7874,13.8684
S3_2,4.3462247228,12.9115,14.0433
S4_1,5.8057815974,13.3174,14.2989
S4_2,3.9169505976,13.6235,13.9814
S4_3,3.3241418511,13.5395,13.6651
S5_1,5.1117123858,13.9484,13.8701
S5_2,5.1348126298,14.1419,14.2978
S5_3,4.7572152261,13.9735,14.2916
S6_1,2.5426910821,14.1058,13.4664
S6_2,-6.561041109,14.8051,12.4532
S6_3,3.1798894076,13.7208,13.3896
S6/t_1,2.6340457228,14.058,13.2178
S6/t_2,-5.2445422934,14.1715,11.4977
S6_4,2.9424676156,13.8429,12.2265
S6_5,3.2517066258,14.2173,12.8766
S6_6,2.9372854014,14.1053,12.9764
S7_4,3.6268800666,13.8537,12.7495
S7_5,2.6757038,13.728,12.6442
S7_6,3.833823895,13.6696,12.5797
S8_4,3.8563725838,13.1727,12.1832
S8_5,-1.5920585421,13.7501,11.7989
G135_1,3.4956086229,14.5319,10.823
G135_3,3.6970853138,12.9564,9.0362
G150_1,0.2192210095,13.5516,11.0348
G150_2,3.9969025062,14.3711,11.2902
G150_3,-1.5811294701,14.2475,11.3412
G180_1,3.6147609774,14.2981,10.677
G180_2,4.6603247481,14.6324,11.041
G180_3,3.5964453647,13.5078,9.8904
C30_1,-0.7600173735,13.9429,10.2917
C30_2,-0.5750381481,13.9782,10.4946
C90_1,-0.1954089857,13.9492,12.2744
C90_2,-1.0316970744,14.0178,12.6136
BI_1,21.2871068034,13.9966,12.7591
BI_2,24.1069068781,14.2096,12.9042
BC_2,-1.0488196665,14.5882,13.2073
BC/t_1,0.1846696558,14.4731,12.471
BC/t_2,0.7195554991,14.5832,12.9243
BC_1,-0.17489855910000002,14.0031,12.543800000000001
Sw_1,10.0752636235,14.5375,11.9656
Sw_2,5.4434889999,14.5394,12.6522
BT_1,-3.8308954172,14.0683,11.7113
BT_2,-3.8098224737,13.4581,10.7939
B36_1,4.1296459499000004,13.5848,12.2607
B36_2,4.9708837341,13.206,12.0409
B60_1,16.7731256433,12.6109,12.7677
B60_2,16.619295597,12.0737,12.8649
M9exp_1,-0.2039361705,13.9416,12.0491
M9exp_2,0.07592460570000001,13.5344,11.7419
M9exp_3,0.1280115648,12.9987,11.5667
M9tran_1,0.15518537840000002,12.9718,11.8588
M9tran_2,1.0888069265,12.9986,11.8419
M9tran_3,0.4136355782,13.2089,11.9373
M9stat_1,-1.0224026793,11.1238,13.4952
M9stat_2,-2.3071878976,10.8989,13.2129
M9stat_3,-2.0383221415,10.6334,13.2118
M+G_1,-0.2986756593,13.2264,10.7673
M+G_2,-0.1321969845,13.4217,11.4466
M+G_3,-0.3111351855,13.511800000000001,11.2619
Glu_1,-0.9812261332000001,13.530100000000001,12.0185
Glu_2,-0.2692723829,13.6327,11.8449
Glu_3,-0.6354879103000001,13.7226,12.0531
Fru_1,-1.0831760105,14.0674,11.9516
Fru_2,-1.0464686367,14.0951,12.0382
Fru_3,-0.1442463247,13.1654,11.4034
Mal_1,-2.7509419614,13.4585,11.8599
Mal_2,-0.463003608,13.6349,11.5623
Mal_3,-2.1150002924,13.4566,12.2551
G+S_2,-0.1093313987,13.9115,12.5492
G+S_3,-0.09504588230000001,13.688,12.9083
Pyr_1,1.3145423384,12.3939,12.2315
Pyr_2,0.0313056745,13.5458,12.5135
Pyr_3,0.3076875441,13.0023,12.1799
Gly_1,0.32069927130000003,12.5146,10.7622
Gly_2,-0.5782049365,13.6785,11.5465
Gly_3,0.2998078128,12.1185,10.179
Glucon_1,2.0085914416,12.7107,11.1575
Glucon_2,2.1659379182,13.0733,11.5357
Glucon_3,3.9946883516,12.2186,10.5892
aero_1,-0.3570829279,14.1133,11.4972
aero_2,-0.4180098765,13.0753,10.2175
aero_3,-1.5030792497,14.043,11.3652
nit_1,-0.9025824838000001,13.5453,12.5261
nit_2,-0.4703652887,13.5476,12.5879
nit_3,-0.7426768843,13.1939,12.3727
ferm_1,0.7003558979000001,13.3104,12.5963
ferm_2,4.4188871994,13.4516,12.0973
ferm_3,3.4589514983000003,14.084,12.5434
T-5.40H_1,0.6187039431,13.7772,12.4078
T-4.40H_1,0.3961454273,13.9864,11.7146
T-3.40H_1,0.3495425801,13.7203,11.8651
T-2.40H_1,-0.3564840653,13.5645,11.6089
T-1.40H_1,0.0841358989,13.5384,11.6985
T-1.10H_1,-0.7309753539,13.6837,11.8774
T-0.40H_1,-0.9565903403,13.1869,11.526
T0.0H_1,-4.0742196822,13.1322,12.0907
T0.30H_1,-8.8066139852,12.4796,13.8763
T1.0H_1,-7.8364486321,12.338,14.1785
T1.30H_1,-5.0357027935,12.2101,14.1068
T2.0H_1,-3.3083298024,12.1585,13.4851
T2.30H_1,-3.98700683,12.7417,14.2331
T3.0H_1,-2.6812727435,12.3403,13.7161
T3.30H_1,-2.0319743574,12.2105,13.8636
T4.0H_1,-2.3099483492,11.7531,13.6145
T5.0H_1,-0.6230429113,11.4151,12.8351
HPh_1,2.1000648162,13.9961,11.2683
HPh_2,2.5595986822,13.8834,10.854800000000001
HPh_3,2.3626994159,13.9816,11.2411
LPh_1,2.0810121519,14.0627,11.1934
LPh_2,1.4565348791,14.6632,11.6773
LPh_3,0.9806273456000001,14.1228,11.1525
LPhT_1,11.943764957900001,13.2688,12.9986
LPhT_2,10.7920835867,13.1712,13.1291
LPhT_3,9.8327212605,13.3603,13.3153
SMMPr_1,1.5783329887000002,14.0475,11.5935
SMMPr_2,0.5005652191000001,14.0387,11.7392
SMMPr_3,-0.2519012987,14.0168,11.6784
HiTm_1,-5.240818102,14.1183,11.2302
HiTm_2,-4.2631027457,13.3113,12.1234
HiTm_3,-3.8100440743,13.5911,12.1758
LoTm_1,-2.60923409,12.3657,12.7641
LoTm_2,-3.3264611005,12.2284,12.7363
LoTm_3,-3.0163686523,12.255700000000001,12.9176
HiOs_1,2.0540740466,13.2213,12.239
HiOs_2,2.0179785633,13.1559,11.9439
HiOs_3,2.8789320742999998,13.2773,12.1753
BMM_1,-0.9520709542,13.4498,12.0058
BMM_2,-0.8185041207,13.3205,11.6958
BMM_3,-0.8919157645,13.5462,11.693
Heat_1,-1.6949620371,13.2334,12.3468
Heat_2,-2.3060043985,12.9985,12.1899
Heat_3,-1.7132947611,12.9208,11.8792
Cold_1,6.4349783359,14.8203,10.4584
Cold_2,4.9540991395,14.1853,9.5517
Cold_3,5.0661843318,13.7563,9.0352
Etha_1,-2.0068871588,12.8573,11.6657
Etha_2,-0.5137433137,12.7243,11.0273
Etha_3,-2.3998521837,12.9687,11.7582
SMM_1,0.6113121199,13.5052,11.5703
SMM_2,0.9391345566,13.4164,11.5568
SMM_3,0.5554929726,13.5245,11.629
Salt_1,-2.2779116411,13.4812,10.7756
Salt_2,-2.2242051591,13.3286,10.7622
Salt_3,-2.9555648281,13.5898,10.7822
Mt0_1,0.48578184030000005,14.1658,11.7689
Mt0_3,-0.7864806833,14.0834,12.0739
M0t45_1,-1.510259266,14.1543,12.5497
M0t45_2,1.1986437664,14.1846,11.4439
M0t45_3,-0.40701292800000005,14.2651,12.8554
M0t90_1,-0.8681486693,12.6548,14.1157
M0t90_2,-1.0794090637,13.7437,14.6479
M0t90_3,-1.8864272078000002,13.3157,14.7104
M40t45_1,-2.851419379,13.6425,12.1607
M40t45_2,-0.0566134646,14.0392,14.2282
M40t45_3,-0.3759787023,14.097,12.9526
M40t90_1,-0.49330683010000004,13.0377,14.6356
M40t90_2,-0.4299668672,13.1057,15.032
M40t90_3,-2.6911084864,13.594,15.1638
dia0_1,-1.3208284045,13.697,11.5641
dia0_2,-1.058232023,13.836,11.8415
dia0_3,0.20127200580000001,14.2766,11.8493
dia5_1,0.9146609272,12.4511,12.6064
dia5_2,-1.4163611161,12.4552,12.5514
dia5_3,-2.1036449952,12.6806,12.5459
dia15_1,3.4172157647,13.6394,12.4791
dia15_2,6.3488281324999996,14.4124,12.1454
dia15_3,5.5235055021,13.2235,11.6483
Diami_1,-2.7182967963999998,12.3456,10.8933
Diami_2,-3.7193020676,12.9074,11.3663
Diami_3,-2.4147911601,12.8769,11.1334
Paraq_1,2.7804367618,14.2324,10.6926
Paraq_2,2.3845980046,14.4646,11.3772
Paraq_3,2.9149626359000003,13.0518,9.9298
H2O2_1,3.046734071,13.9536,11.1536
H2O2_2,3.1893895923,14.1817,11.5071
H2O2_3,4.1299705413,13.918800000000001,11.3816
Oxctl_1,2.1396576061,13.8599,10.6337
Oxctl_2,1.2615090238,13.7135,10.6227
Oxctl_3,2.6065091222,14.478,11.1149
GM-0.1_1,0.1683157959,13.419,11.5686
GM-0.2_1,1.1491951148,13.3759,11.461
GM+5_1,0.16143219920000001,13.3714,11.2016
GM+15_1,-0.2201727896,13.531600000000001,11.8474
GM+25_1,0.9221364996,13.8283,12.3422
GM+45_1,-0.23835131810000001,13.8168,11.9955
GM+60_1,-0.3841761045,13.9334,11.8947
GM+90_1,-0.7098674819,13.8087,11.8538
GM+120_1,1.776486824,12.8213,10.8418
GM+150_1,0.8102123,13.4015,11.2658
GM-0.1_2,-0.46437941990000003,13.752,12.0606
GM-0.2_2,0.3929922246,13.8708,12.1354
GM+5_2,-1.2734091401,13.4779,11.6987
GM+10_2,-1.2032587834,13.5433,11.6188
GM+15_2,0.6029356968,13.2997,11.8078
GM+25_2,1.0932537974,13.492,11.9832
GM+45_2,0.2413755126,13.0365,10.8938
GM+60_2,0.8865297808,12.8823,10.8558
GM+90_2,0.5448846807000001,13.7723,11.755
GM+150_2,2.4576859494,12.7105,11.9169
GM-0.1_3,0.49452166300000006,13.4343,11.8249
GM-0.2_3,-0.3348436068,13.5552,11.7442
GM+5_3,-0.9092217307,13.5866,11.7254
GM+10_3,0.2069699595,12.6924,10.547
GM+15_3,-0.0492706024,13.3161,11.5554
GM+25_3,1.4109085749,13.1581,11.2242
GM+45_3,3.4518332884,12.8715,11.0635
GM+60_3,2.2354836039,12.9321,10.8261
GM+90_3,1.2736880857,13.4402,11.5253
GM+120_3,2.2145500575,13.4896,11.1806
GM+150_3,0.29802534080000004,13.4983,11.5602
MG-0.1_1,-1.650749092,13.6023,12.1473
MG+5_1,0.8184853957,13.617,12.0417
MG+10_1,0.6147056384,13.9654,12.3921
MG+15_1,1.439161653,13.1208,11.5252
MG+25_1,0.4615686291,13.7609,11.7972
MG+45_1,0.1939808856,13.5406,11.6371
MG+120_1,1.8024917076,13.0947,10.7459
MG+150_1,1.0955774825,13.2405,11.8052
MG-0.1_2,-0.4662696914,12.8072,11.2738
MG-0.2_2,-0.7316241375,13.3433,11.7919
MG+5_2,0.5892601121000001,13.3291,11.7411
MG+10_2,0.28554494410000003,13.6988,12.0557
MG+15_2,1.5251264313,14.3943,12.7556
MG+25_2,0.2283044685,13.3344,11.5086
MG+45_2,0.2830715064,12.8247,10.9311
MG+60_2,-0.0526268067,13.5254,11.3789
