,Value,list
TF,PhoP + SigA,
reg_genes,70,"['tagB' 'tuaD' 'S201' 'treP' 'skfA' 'resB' 'S99' 'tuaH' 'tuaB' 'S1361'
 'S77' 'S83' 'S1097' 'S82' 'srfAB' 'tagG' 'skfH' 'skfC' 'tatCD' 'ykzB'
 'phoB' 'tuaC' 'glpQ' 'treR' 'resE' 'srfAC' 'S1372' 'resC' 'S327' 'tuaG'
 'resA' 'tagH' 'phoR' 'srfAD' 'resD' 'skfF' 'S126' 'S1373' 'phoA' 'tuaE'
 'tuaF' 'tagF' 'treA' 'phoP' 'srfAA' 'ydhF' 'skfB' 'comS' 'skfG' 'S78'
 'skfE' 'S878' 'tagD' 'S1375' 'tatAD' 'glpT' 'S879' 'tagA' 'S1374' 'S1371'
 'tagE' 'phoD']"
comp_genes,11,['guaC' 'pipA' 'BSU_misc_RNA_27']
both_genes,8,['pstBB' 'pstA' 'tuaA/2' 'pstC' 'pstBA' 'ykoL' 'tuaA/1' 'pstS']
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,18,
comp_ops,5,
both_ops,3,
