,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
66,Mobile_gene2__Condition1,0.0707992129999999,0.1608101775083972,2.0,168.0,0.18450918,169.0,-0.0429107540000002,,,,
67,Mobile_gene2__Condition2,-1.3877787807814457e-16,0.285557903450277,4.0,170.0,-0.1720238649999999,171.0,0.2583112419999995,172.0,0.2257338720000001,173.0,-0.3120212490000003
68,Muconate__CJ522_fructose,-0.22936504133333338,0.17751003157500966,3.0,174.0,-0.3086411743333332,175.0,-0.0260312743333335,176.0,-0.3534226753333334,,
69,Muconate__CJ522_fructose_glucose,-1.0545262423333335,0.08389076186804426,3.0,177.0,-0.9819032973333336,178.0,-1.1463542963333335,179.0,-1.0353211333333334,,
70,Muconate__CJ522_fructose_glucose_gluconate,-0.6843780696666667,0.20065143209304273,3.0,180.0,-0.5317428003333333,181.0,-0.6097392433333333,182.0,-0.9116521653333334,,
71,Muconate__CJ522_glucose_gluconate,-1.3403352913333333,0.5187323787260998,3.0,183.0,-1.1521951553333336,184.0,-0.9419261743333336,185.0,-1.9268845443333331,,
72,Muconate__CJ522_gluconate,0.08325885633333327,0.1978916934074053,3.0,186.0,-0.1451839573333337,187.0,0.1928398986666666,188.0,0.2021206276666669,,
73,Muconate__CJ522_glucose,0.38615068199999997,0.3162245818836676,3.0,189.0,0.1922093446666668,190.0,0.7510542796666666,191.0,0.2151884216666664,,
74,Muconate__GB032_fructose,0.8955568343333331,0.09556704676734114,3.0,192.0,1.0021769986666662,193.0,0.8176060166666668,194.0,0.8668874876666663,,
75,Muconate__GB032_fructose_glucose,-0.897325521,0.0722009371410087,3.0,195.0,-0.9241873623333334,196.0,-0.8155439863333331,197.0,-0.9522452143333332,,
76,Muconate__GB032_fructose_glucose_gluconate,-1.330289298,0.47623959089818807,3.0,198.0,-0.9935506513333334,199.0,-1.8751681973333336,200.0,-1.1221490453333334,,
77,Muconate__GB032_glucose_gluconate,-1.2216137300000003,0.11747608359251738,3.0,201.0,-1.3112266853333336,202.0,-1.2649989123333336,203.0,-1.0886155923333334,,
78,Muconate__GB032_gluconate,-1.0389569416666669,0.09723770116492692,3.0,204.0,-1.0066772023333337,205.0,-0.9619641943333336,206.0,-1.1482294283333334,,
79,Muconate__GB032_glucose,0.20295919033333298,0.7403244756595866,3.0,207.0,-0.2346052833333338,208.0,1.0577314646666665,209.0,-0.2142486103333336,,
80,Muconate__GB045_fructose,-0.6206295770000002,0.3677426389093491,3.0,210.0,-0.2214189673333333,211.0,-0.6949040583333339,212.0,-0.9455657053333332,,
81,Muconate__GB045_fructose_glucose,-0.49361631633333314,0.0354690701140136,2.0,213.0,-0.468535896333333,214.0,-0.5186967363333332,,,,
82,Muconate__GB045_fructose_glucose_gluconate,-0.3169111273333334,0.14373006161673024,3.0,215.0,-0.1519494253333331,216.0,-0.3836103983333334,217.0,-0.4151735583333336,,
83,Muconate__GB045_glucose_gluconate,-1.070692830666667,0.2655668023151223,3.0,218.0,-0.7808668663333336,219.0,-1.3023606933333336,220.0,-1.1288509323333336,,
84,Muconate__GB045_gluconate,-0.33567819566666685,0.7836373149881045,3.0,221.0,-0.9117280213333334,222.0,-0.6519813313333334,223.0,0.5566747656666662,,
85,Muconate__GB045_glucose,-0.6694723233333336,0.2366011105238336,3.0,224.0,-0.7121967573333334,225.0,-0.8818001843333336,226.0,-0.4144200283333337,,
86,Muconate__GB062_fructose,-0.49774665766666687,0.3424618959815691,3.0,227.0,-0.5828046223333336,228.0,-0.7896634963333335,229.0,-0.1207718543333333,,
87,Muconate__GB062_fructose_glucose,-0.8292713370000001,0.26001762681721347,3.0,230.0,-0.5779300423333336,231.0,-0.8127103723333331,232.0,-1.0971735963333336,,
88,Muconate__GB062_fructose_glucose_gluconate,-0.7910734016666668,0.16081996564408657,3.0,233.0,-0.846955035333333,234.0,-0.6097670293333337,235.0,-0.9164981403333337,,
89,Muconate__GB062_glucose_gluconate,-1.175862730666667,0.03484116643820737,3.0,236.0,-1.2047541313333334,237.0,-1.1371709563333336,238.0,-1.1856631043333334,,
90,Muconate__GB062_gluconate,-0.8384620593333333,0.19158567944869215,3.0,239.0,-0.6583375203333333,240.0,-0.8172973743333332,241.0,-1.0397512833333336,,
91,Muconate__GB062_glucose,-1.0129323183333336,0.2802974876852303,3.0,242.0,-0.8168897343333335,243.0,-1.3339831163333336,244.0,-0.8879241043333339,,
92,Muconate__KT2440_fructose,-0.27483406266666677,0.5515163370501572,3.0,245.0,0.2876371906666666,246.0,-0.2974389933333334,247.0,-0.8147003853333334,,
93,Muconate__KT2440_fructose_glucose,0.2163936859999999,0.14900338000007757,3.0,248.0,0.1159006576666668,249.0,0.1456944656666667,250.0,0.3875859346666663,,
94,Muconate__KT2440_fructose_glucose_gluconate,0.7838397489999996,0.27234401981797396,3.0,251.0,0.5026285596666664,252.0,1.0463529536666665,253.0,0.8025377336666661,,
95,Muconate__KT2440_glucose_gluconate,0.6931403493333331,0.1438641464516574,3.0,254.0,0.6927476616666661,255.0,0.8372004376666666,256.0,0.5494729486666667,,
96,Muconate__KT2440_gluconate,-0.09640168666666682,0.42839693040297305,3.0,257.0,-0.5056364943333334,258.0,0.3488795576666668,259.0,-0.1324481233333339,,
97,Muconate__KT2440_glucose,0.0,0.11922588281876585,3.0,260.0,0.1360247676666661,261.0,-0.0496341883333331,262.0,-0.086390579333333,,
98,Multistress__Control,-5.643633708511212e-16,0.1335592808119116,3.0,263.0,0.1531729293333326,264.0,-0.0610422766666669,265.0,-0.0921306526666674,,
99,Multistress__NaCl_7min,-0.5841867640000008,0.2774364154422082,3.0,266.0,-0.8452133966666673,268.0,-0.2928325716666675,270.0,-0.6145143236666675,,
100,Multistress__NaCl_60min,5.111407135333333,0.04880830913739374,3.0,267.0,5.057436004333332,269.0,5.152449329333332,271.0,5.124336072333333,,
101,Multistress__Imipenem_7min,0.19221718966666604,0.13349228562034096,3.0,272.0,0.3461947713333329,274.0,0.1090341613333327,276.0,0.1214226363333326,,
102,Multistress__Imipenem_60min,0.2351321926666661,0.08265937875456396,3.0,273.0,0.1401501863333329,275.0,0.2744753893333325,277.0,0.290771002333333,,
103,Multistress__H2O2_7min,-0.19225234500000057,0.1517500464004921,3.0,278.0,-0.0211906516666671,280.0,-0.310669349666667,282.0,-0.2448970336666676,,
104,Multistress__H2O2_60min,-0.3962853760000007,0.1055516172092387,3.0,279.0,-0.4191529916666674,281.0,-0.4885287016666675,283.0,-0.2811744346666671,,
105,Myristic_acid__Control,4.718447854656915e-16,0.1614881872428046,3.0,284.0,-0.112622486666666,285.0,0.1850185323333337,286.0,-0.0723960456666663,,
106,Myristic_acid__Myristic_acid,0.6882180706666667,0.06268038694737063,3.0,287.0,0.6643989363333334,288.0,0.7593164673333335,289.0,0.6409388083333334,,
107,Phase__WT_Tr,-0.17436213074999996,0.2710955124902529,4.0,290.0,-0.4178441175,291.0,-0.2268461195000002,294.0,0.2130392715000004,295.0,-0.2657975575
108,Phase__WT_Ex,-1.942890293094024e-16,0.6349399559520748,2.0,292.0,-0.4489703485,293.0,0.4489703484999996,,,,
109,Phase__WT_St,-0.1476795044999997,0.8606221750254339,2.0,296.0,-0.7562312804999998,297.0,0.4608722715000004,,,,
110,RelA__Control,-2.7755575615628914e-16,0.25443475244705166,3.0,298.0,0.2615916279999997,299.0,-0.0149752269999998,300.0,-0.2466164010000007,,
111,RelA__Del_relA,0.19415570266666615,0.15674091037362184,3.0,301.0,0.2887272599999999,302.0,0.0132290679999993,303.0,0.2805107799999993,,
112,RelA__Del_relA_lignin,0.690431837333333,0.11290878585046236,3.0,304.0,0.7566234969999996,305.0,0.7546108349999994,306.0,0.5600611799999999,,
113,Zn__Zn_ion,-0.985278694666666,0.025106347014079704,3.0,307.0,-1.011311585333333,308.0,-0.9833096523333325,309.0,-0.9612148463333324,,
114,Zn__Control,6.002143226879753e-16,0.013621487070758248,3.0,310.0,0.0059609826666671,311.0,-0.0155858443333327,312.0,0.0096248616666674,,
115,ZnO__Control,0.0,0.5595014897695152,2.0,313.0,0.3956272974999999,314.0,-0.3956272974999999,,,,
116,ZnO__Nano,0.309821345833333,0.20783213592358557,3.0,315.0,0.3662594644999997,316.0,0.4836053824999995,317.0,0.0795991904999997,,
117,ZnO__Zn_ion,0.15531436316666655,0.45652073969130336,3.0,318.0,0.3530367334999997,319.0,0.4796441324999998,320.0,-0.3667377764999999,,
