,ymjA
Cr_1,8.214244622226549e-05
Cr_2,-0.0022751364020212233
Cr_3,-0.0033277535773428143
Cr_4,0.0013256194217858973
Cr_5,0.007081918107270793
Cr_6,0.01232922421228794
Fe_1,-0.005408075484074005
Fe_2,-0.015571229418555672
Fe_3,-0.023491757544210425
Fe_4,-0.03838325952237974
Fe_5,-0.0483282409407862
Fe_6,-0.05342204140488251
Cd_1,0.004241138124820313
Cd_2,0.013994645034472055
Cd_3,0.04582203571443387
Cd_4,0.14254690518370186
Cd_5,0.5433667297296069
Cd_6,0.05401557455444544
Zn_1,0.003642744877083649
Zn_2,0.009525768197741296
Zn_3,0.02073112491871635
Zn_4,0.029564994134091777
Zn_5,0.0436030436733701
Zn_6,0.059330964718938325
Cu_1,0.007427608937727241
Cu_2,0.013959091527769415
Cu_3,0.019669079326627027
Cu_4,0.02679931585040914
Cu_5,0.035213936156390686
Cu_6,0.04567439335654864
Pb_1,0.0021565566274168967
Pb_2,0.000467558805365224
Pb_3,0.001743770472318017
Pb_4,0.0022454830562199856
Pb_5,0.003926529211589257
Pb_6,0.010286100786689569
