,metJ
Cr_1,0.00396962573656408
Cr_2,0.010606191983878766
Cr_3,0.016319541499849842
Cr_4,0.02050956063810395
Cr_5,0.02209769957759526
Cr_6,0.023944645282387128
Fe_1,-0.009282110586985031
Fe_2,-0.03189203059646285
Fe_3,-0.056162514893522884
Fe_4,-0.07580657700631452
Fe_5,-0.082315783686588
Fe_6,-0.08606606922029518
Cd_1,-0.0001052882490111319
Cd_2,0.002352301663114933
Cd_3,0.004170645139715834
Cd_4,0.005933260483906653
Cd_5,0.004410686443341233
Cd_6,0.006949365942595514
Zn_1,-0.009419150526538422
Zn_2,-0.02635662689543859
Zn_3,-0.047119499570325664
Zn_4,-0.06544922317955826
Zn_5,-0.08633297432306472
Zn_6,-0.10283051527014148
Cu_1,0.002159485695555825
Cu_2,0.004313629315597276
Cu_3,0.011055104976591991
Cu_4,0.017487389945407758
Cu_5,0.01503960339281806
Cu_6,0.021100837917288125
Pb_1,0.003454880230328091
Pb_2,0.008493877854425104
Pb_3,0.0131709754730372
Pb_4,0.01595970501172168
Pb_5,0.016657157464387343
Pb_6,0.01943799672730472
