,yfcU
Cr_1,-0.003441481623645615
Cr_2,-0.010914568713844977
Cr_3,-0.014552333568895954
Cr_4,-0.021128830074360228
Cr_5,-0.02688587671516932
Cr_6,-0.02941185281542695
Fe_1,-0.02236420833783291
Fe_2,-0.06787746814434004
Fe_3,-0.0902621096491352
Fe_4,-0.12463310561274844
Fe_5,-0.1592534914656561
Fe_6,-0.18850473308160676
Cd_1,0.005016966992160643
Cd_2,0.008799325112305707
Cd_3,0.010482444174437595
Cd_4,0.016878818194544926
Cd_5,0.01319336720801155
Cd_6,0.022568924402884757
Zn_1,0.00042896503535163856
Zn_2,0.031103417876402858
Zn_3,0.09786594539893646
Zn_4,0.1433144515149238
Zn_5,0.19663755813193184
Zn_6,0.22066427737156105
Cu_1,0.0035553031666736962
Cu_2,0.018935773252248638
Cu_3,0.029604051330144394
Cu_4,0.03534561024160194
Cu_5,0.05114309098980102
Cu_6,0.06613546678472987
Pb_1,0.01753623855064079
Pb_2,0.03556300033059001
Pb_3,0.05220900375753359
Pb_4,0.0626100987901863
Pb_5,0.07163351760283844
Pb_6,0.09481486816334828
