,Value,list
TF,AgrA,
reg_genes,0,[]
comp_genes,22,"['USA300HOU_RS03480' 'USA300HOU_RS05900' 'USA300HOU_RS05640'
 'USA300HOU_RS11230' 'USA300HOU_RS05090' 'USA300HOU_RS14500'
 'USA300HOU_RS02380' 'USA300HOU_RS09630' 'USA300HOU_RS02375'
 'USA300HOU_RS05895' 'USA300HOU_RS09650' 'USA300HOU_RS10530'
 'USA300HOU_RS09655' 'USA300HOU_RS14420' 'USA300HOU_RS14415'
 'USA300HOU_RS11225' 'USA300HOU_RS05825']"
both_genes,0,"['USA300HOU_RS10965' 'USA300HOU_RS10955' 'USA300HOU_RS10970'
 'USA300HOU_RS10975' 'USA300HOU_RS10960']"
reg_genes2,5,
comp_genes2,0,
both_genes2,0,
reg_ops,2,
comp_ops,13,
both_ops,2,
