,A,AgrA
R2,,0.8400396020203009
xmin,,6.3872377615
xmid,,8.51299932244424
xmax,,12.854845039
ystart,,-1.0087538631643866
yend,,25.500190936810277
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,3.9117107520000003,8.2340986226
USA300_LAC_U01-Set001_CAMHB_Control_1,0.365308968,7.6561306615
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,1.224856948,7.8675572273
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,0.220574714,7.8452025571
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,1.549456294,7.8823007318
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,3.2200236970000002,8.332419407
USA300_LAC_U01-Set001_CAMHB_Control_2,-0.365308968,7.5967740407
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,0.77476353,7.9022084958
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,0.39543996800000003,7.8969063725
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,1.606891687,8.0408291535
USA300_TCH1516_U01-Set000_CAMHB_Control_1,-0.443823681,8.6431770078
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,0.732990268,8.6651407202
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,-0.892296013,8.3024898727
USA300_LAC_U01-Set001_R10LB_PreCulture_1,-1.121582029,8.1832351625
USA300_LAC_U01-Set001_R10LB_PreCulture_2,-1.280160827,8.1755340845
USA300_LAC_U01-Set001_R10LB_Control_1,-0.241696446,7.8092220952
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,-1.7043367759999999,7.801061652
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,-0.89105994,7.6323275543
USA300_LAC_U01-Set001_R10LB_Control_2,-0.9879048690000001,7.7119015259
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,-0.096382144,7.727748234
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,-0.49722677400000004,7.8496628375
USA300_TCH1516_U01-Set000_R10LB_Control_1,-5.404713135,8.2605491799
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,-5.828345441,7.8814986512
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,-5.609736166,7.9148080582
USA300_TCH1516_U01-Set000_R10LB_Control_2,-5.516462496,8.5135342147
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,-5.947144927,8.1821230461
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,-6.057222774,8.1049689794
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,-3.970762991,8.449358803700001
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,-3.526678686,8.3951896866
USA300_TCH1516_U01-Set000_CAMHB_Control_2,0.443823681,8.8326958775
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,-0.267483106,8.227867862
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,-1.171581159,7.8054339094
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,-3.5576626840000003,7.7106257497
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,-2.043191264,7.7584980267
USA300_LAC_U01-Set004_CAMHB_Control_1,-1.642680602,8.0422377863
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,-0.571180863,8.1463941422
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,0.053147023,7.9880406309000005
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,0.9883372250000001,8.0259042007
USA300_LAC_U01-Set004_CAMHB_Control_2,-1.4505091540000001,8.1462798772
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,-0.327345847,7.9694432165
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,-0.30058787400000003,8.1161273771
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,0.381109686,7.865341835
USA300_LAC_U01-Set004_R10LB_Control_1,-0.5610532540000001,7.9508982082
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,-2.036206104,7.9169418991
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,-2.139844686,7.8303950509
USA300_LAC_U01-Set004_R10LB_Control_2,-0.6114355960000001,8.0460263652
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,-1.454541574,7.8186218373
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,-1.790199447,7.9294990636
USA300_TCH1516_U01-Set003_CAMHB_Control_2,2.297264059,8.8878405945
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,3.713187261,9.4479598136
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,4.295071184,9.3933950468
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,2.534389587,9.3031411962
USA300_TCH1516_U01-Set003_CAMHB_Control_3,3.436256767,9.5979816223
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,5.193112346,9.7091607212
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,5.841024429,9.5199696965
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,2.181601324,9.4203984104
USA300_LAC_ICA-Set001_R10LB_Control_1,0.779633278,7.6987476861
USA300_LAC_ICA-Set001_R10LB_Control_2,-0.40031139800000004,7.8066179415
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,0.964219675,7.8475527851999995
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,-0.16898763800000002,7.8889941527000005
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,-1.254800752,8.081028709
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,-0.110259624,8.0727610264
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,26.29991979,12.7648629773
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,26.72041513,12.854845039
USA300_TCH1516_BK-Set001_THB_Control_1,-1.2523765629999999,6.3872377615
USA300_TCH1516_BK-Set001_THB_Control_2,-0.272461322,8.5263861208
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,18.02078538,11.5301313861
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,14.51609601,11.4594699977
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,0.601944374,9.215464766
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,-5.174958673,6.4157225099
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,7.047612244,10.01817229
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,-1.5570264900000002,7.7763074669000005
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,-3.5314916050000003,6.9470458938
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,-3.710776409,6.9778958242
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,1.121806068,7.8753535266
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,0.280606685,7.6187719755
USA300_LAC_ICA-Set002_CAMHB_Control_1,-0.236734783,7.4145070979
USA300_LAC_ICA-Set002_CAMHB_Control_2,-1.463909994,7.056188674
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,-1.872761436,7.5525072027
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,-1.5127429650000002,7.507551075
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,-3.289310925,7.1717395723
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,-3.695775589,7.1934120965
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,2.9121668080000003,8.5592339269
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,4.751591909,8.8128629891
USA300_SNFM1_ICA-Set002_R10LB_Control_1,3.236102387,9.1702365661
USA300_SNFM1_ICA-Set002_R10LB_Control_2,4.254433307,9.3239047283
