,ybiF
Cr_1,0.010610824401091895
Cr_2,0.01278400912539409
Cr_3,0.010275873303815129
Cr_4,0.016233986354848087
Cr_5,0.015243788663009553
Cr_6,0.013405037939794336
Fe_1,0.003222443421067907
Fe_2,0.0076347703909869875
Fe_3,0.026820399553592358
Fe_4,0.04357300387811354
Fe_5,0.06442842020307292
Fe_6,0.08209752088671902
Cd_1,0.0015058987007171784
Cd_2,0.0017525119298189655
Cd_3,0.00822137754791347
Cd_4,0.01350341677872241
Cd_5,0.011258617387206831
Cd_6,0.016312834669105592
Zn_1,-0.00022734147926836178
Zn_2,-0.0017808535642520511
Zn_3,0.009568454345932594
Zn_4,0.019442235346713917
Zn_5,0.021239506615235132
Zn_6,0.026292368379404785
Cu_1,0.0015018042388968466
Cu_2,0.008704578344738182
Cu_3,0.015212802292321472
Cu_4,0.02301513645514601
Cu_5,0.0315152073296776
Cu_6,0.03610949134176239
Pb_1,0.0003144069051980667
Pb_2,0.0042522879077065935
Pb_3,0.009970263563925654
Pb_4,0.022133862773442748
Pb_5,0.03301739865472282
Pb_6,0.044618655426610775
