,metF
Cr_1,0.0007374470075703528
Cr_2,0.008922738553748127
Cr_3,0.008861176096807474
Cr_4,-0.0007443035124182389
Cr_5,-0.010682415696354005
Cr_6,-0.018882275045454443
Fe_1,-0.013466598583921064
Fe_2,-0.0271362813455356
Fe_3,-0.04625632681744001
Fe_4,-0.060580210945705364
Fe_5,-0.0764153499533267
Fe_6,-0.0872968827427631
Cd_1,0.007650457903657616
Cd_2,0.02374257067673978
Cd_3,0.03985911522777427
Cd_4,0.04807408399863528
Cd_5,0.05424518343815253
Cd_6,0.05321335692017405
Zn_1,-0.07693601407131631
Zn_2,-0.12757941062878922
Zn_3,-0.16316827591334795
Zn_4,-0.207883787157374
Zn_5,-0.23244286171589065
Zn_6,-0.23905161496246524
Cu_1,0.01846236204240713
Cu_2,0.03667565719802344
Cu_3,0.05136736248636588
Cu_4,0.06095104066609034
Cu_5,0.07310403868337657
Cu_6,0.08606382141194074
Pb_1,0.0031962171656417715
Pb_2,0.007931203731328816
Pb_3,0.017942642803941318
Pb_4,0.01745917730874929
Pb_5,0.021687900309135224
Pb_6,0.031670671237087174
