,rof
Cr_1,0.006559279539754678
Cr_2,0.012609267251536908
Cr_3,0.01846194662452729
Cr_4,0.025078553477548542
Cr_5,0.031684238906246845
Cr_6,0.03646327663742389
Fe_1,-0.0044596394824287094
Fe_2,-0.01742253855123249
Fe_3,-0.03374554646467983
Fe_4,-0.05640645541688943
Fe_5,-0.07589439501387336
Fe_6,-0.08961800759482344
Cd_1,0.006368248417029508
Cd_2,0.013197509664506007
Cd_3,0.01922037875363261
Cd_4,0.02425357265597787
Cd_5,0.02537117097041174
Cd_6,0.02997758240107455
Zn_1,0.002475471543485923
Zn_2,0.0025166182828617405
Zn_3,0.007279419552395256
Zn_4,0.017322773032039437
Zn_5,0.02567049593025276
Zn_6,0.032420721540160416
Cu_1,0.0047211653758046064
Cu_2,0.012270503048318086
Cu_3,0.021317289788040303
Cu_4,0.02940263787638193
Cu_5,0.038482178021927514
Cu_6,0.0498142850852363
Pb_1,0.002289140067865361
Pb_2,0.006551081382870771
Pb_3,0.01351651835732731
Pb_4,0.01629429267784444
Pb_5,0.017795154196520252
Pb_6,0.022437178907197108
